note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",kl_pyx_pyxz,kl_pyxz_pyx,true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = 7.5,7.5,0.00038800000000000005,0.9996120000000002,0.00496,0.9994499999999997,0.00055,0.9999499999999999,5.000000000000001e-05,0.9999498060000002,5.019400000000002e-05,0.99992,8e-05,0.00675,0.00079,0.0012,0.00079,0.00079,1e-05,1e-05,-0.8,False,False,0.00064,0.00056
x1 = 15.3,15.3,0.002899,0.997101,0.02862,0.9995700000000001,0.00042999999999999994,0.9999299999999998,6.999999999999998e-05,0.9999289563599998,7.104363999999998e-05,0.99992,8e-05,0.00543,0.00107,0.0012,0.00108,0.00108,0.0,0.0,-0.8,False,False,0.00064,0.00056
x1 = 4.9,4.9,0.000157,0.999843,0.00221,0.9997399999999999,0.0002599999999999999,0.99996,4e-05,0.99995996546,4.003454000000001e-05,0.99992,8e-05,0.00347,0.00064,0.0012,0.00064,0.00064,2e-05,2e-05,-0.8,False,False,0.00064,0.00056
x1 = 6.9,6.9,0.00044600000000000005,0.999554,0.00561,0.9995700000000001,0.00042999999999999994,0.9999499999999999,5.000000000000001e-05,0.9999498305199999,5.0169480000000014e-05,0.99992,8e-05,0.00543,0.00079,0.0012,0.00079,0.00079,1e-05,1e-05,-0.8,False,False,0.00064,0.00056
x1 = 6.0,6.0,0.000502,0.999498,0.00623,0.9997399999999999,0.0002599999999999999,0.99996,4e-05,0.9999598895599999,4.0110440000000004e-05,0.99992,8e-05,0.00347,0.00064,0.0012,0.00064,0.00064,2e-05,2e-05,-0.8,False,False,0.00064,0.00056
x1 = -4.6,-4.6,0.9999520000000001,4.7999999999999994e-05,0.00076,0.9999499999999999,5.000000000000001e-05,0.9890100000000002,0.01099,0.99994947488,5.052512000000001e-05,0.99992,8e-05,0.00079,0.08729,0.0012,0.00079,0.00079,1e-05,1e-05,-0.8,False,False,0.00064,0.00056
x1 = -2.8,-2.8,0.9999800000000001,1.9999999999999998e-05,0.00034,0.9998799999999999,0.00012000000000000002,0.8808,0.1192,0.9998776184,0.00012238160000000003,0.99992,8e-05,0.00174,0.52706,0.0012,0.00177,0.00175,1e-05,1e-05,-0.8,False,False,0.00064,0.00056
x1 = -5.3,-5.3,0.9999549999999999,4.4999999999999996e-05,0.00071,0.9998799999999999,0.00012000000000000002,0.9890100000000002,0.01099,0.9998795108499998,0.00012048915,0.99992,8e-05,0.00174,0.08729,0.0012,0.00174,0.00174,1e-05,1e-05,-0.8,False,False,0.00064,0.00056
x1 = -8.1,-8.1,0.999901,9.9e-05,0.00146,0.9999,0.00010000000000000002,0.98594,0.01406,0.9998986179600001,0.00010138204000000002,0.99992,8e-05,0.00147,0.10664,0.0012,0.00149,0.00148,0.0,0.0,-0.8,False,False,0.00064,0.00056
x1 = -5.6,-5.6,0.9999499999999999,5e-05,0.00079,0.9999,0.00010000000000000002,0.9890100000000002,0.01099,0.9998994554999999,0.00010054450000000001,0.99992,8e-05,0.00147,0.08729,0.0012,0.00148,0.00147,0.0,0.0,-0.8,False,False,0.00064,0.00056
x1 = -6.9,-6.9,0.9999750000000001,2.5e-05,0.00042,0.9998799999999999,0.00012000000000000002,0.98201,0.017990000000000003,0.99987955325,0.00012044675000000002,0.99992,8e-05,0.00174,0.13,0.0012,0.00174,0.00174,1e-05,1e-05,-0.8,False,False,0.00064,0.00056
x1 = -7.0,-7.0,0.9999270000000001,7.300000000000001e-05,0.00111,0.9998799999999999,0.00012000000000000002,0.99142,0.008580000000000003,0.99987938242,0.00012061758000000003,0.99992,8e-05,0.00174,0.07123,0.0012,0.00174,0.00175,1e-05,1e-05,-0.8,False,False,0.00064,0.00056
x1 = 7.3,7.3,0.000401,0.9995989999999999,0.0051,0.9995700000000001,0.00042999999999999994,0.9999499999999999,5.000000000000001e-05,0.9999498476199998,5.015238e-05,0.99992,8e-05,0.00543,0.00079,0.0012,0.00079,0.00079,1e-05,1e-05,-0.8,False,False,0.00064,0.00056
x1 = -8.9,-8.9,0.9999020000000002,9.8e-05,0.00145,0.9998799999999999,0.00012000000000000002,0.98594,0.01406,0.99987863388,0.00012136612000000004,0.99992,8e-05,0.00174,0.10664,0.0012,0.00175,0.00175,1e-05,1e-05,-0.8,False,False,0.00064,0.00056
x1 = 7.3,7.3,0.000401,0.9995989999999999,0.0051,0.9995700000000001,0.00042999999999999994,0.9999499999999999,5.000000000000001e-05,0.9999498476199998,5.015238e-05,0.99992,8e-05,0.00543,0.00079,0.0012,0.00079,0.00079,1e-05,1e-05,-0.8,False,False,0.00064,0.00056
