note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",kl_pyx_pyxz,kl_pyxz_pyx,true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = -9.5,-9.5,0.999907,9.300000000000001e-05,0.00138,1.0,0.0,0.8175700000000001,0.18243000000000004,0.99998303401,1.6965990000000006e-05,0.9999750000000003,2.5e-05,0.0,0.68536,0.00042,0.00029,6e-05,0.0,0.0,-3.2,False,False,3e-05,0.00039
x1 = -3.0,-3.0,0.999971,2.9e-05,0.00048,1.0,0.0,0.6791799999999999,0.32081999999999994,0.99999069622,9.303779999999998e-06,0.9999750000000003,2.5e-05,0.0,0.90527,0.00042,0.00017,3e-05,1e-05,1e-05,-3.2,False,False,3e-05,0.00039
x1 = 1.8,1.8,0.49156000000000005,0.50844,0.99979,0.9999800000000001,2e-05,0.9999900000000002,1e-05,0.9999850844000002,1.4915600000000003e-05,0.9999750000000003,2.5e-05,0.00034,0.00018,0.00042,0.00026,0.00026,0.0,0.0,-3.2,False,False,3e-05,0.00039
x1 = 4.4,4.4,0.000182,0.999818,0.00252,0.9996600000000002,0.00034,0.9999900000000002,1e-05,0.9999899399400002,1.0060060000000001e-05,0.9999750000000003,2.5e-05,0.00441,0.00018,0.00042,0.00018,0.00018,1e-05,1e-05,-3.2,False,False,3e-05,0.00039
x1 = 3.9,3.9,0.00022600000000000002,0.999774,0.00306,0.9998000000000002,0.00020000000000000004,0.9999900000000002,1e-05,0.9999899570600002,1.0042940000000003e-05,0.9999750000000003,2.5e-05,0.00275,0.00018,0.00042,0.00018,0.00018,1e-05,1e-05,-3.2,False,False,3e-05,0.00039
x1 = -4.6,-4.6,0.9999520000000001,4.7999999999999994e-05,0.00076,1.0,0.0,0.5621799999999999,0.43782,0.99997898464,2.1015359999999996e-05,0.9999750000000003,2.5e-05,0.0,0.98882,0.00042,0.00036,5e-05,0.0,0.0,-3.2,False,False,3e-05,0.00039
x1 = -4.6,-4.6,0.9999520000000001,4.7999999999999994e-05,0.00076,1.0,0.0,0.5621799999999999,0.43782,0.99997898464,2.1015359999999996e-05,0.9999750000000003,2.5e-05,0.0,0.98882,0.00042,0.00036,5e-05,0.0,0.0,-3.2,False,False,3e-05,0.00039
x1 = -4.6,-4.6,0.9999520000000001,4.7999999999999994e-05,0.00076,1.0,0.0,0.5621799999999999,0.43782,0.99997898464,2.1015359999999996e-05,0.9999750000000003,2.5e-05,0.0,0.98882,0.00042,0.00036,5e-05,0.0,0.0,-3.2,False,False,3e-05,0.00039
x1 = -4.6,-4.6,0.9999520000000001,4.7999999999999994e-05,0.00076,1.0,0.0,0.5621799999999999,0.43782,0.99997898464,2.1015359999999996e-05,0.9999750000000003,2.5e-05,0.0,0.98882,0.00042,0.00036,5e-05,0.0,0.0,-3.2,False,False,3e-05,0.00039
x1 = -4.6,-4.6,0.9999520000000001,4.7999999999999994e-05,0.00076,1.0,0.0,0.5621799999999999,0.43782,0.99997898464,2.1015359999999996e-05,0.9999750000000003,2.5e-05,0.0,0.98882,0.00042,0.00036,5e-05,0.0,0.0,-3.2,False,False,3e-05,0.00039
x1 = -4.6,-4.6,0.9999520000000001,4.7999999999999994e-05,0.00076,1.0,0.0,0.5621799999999999,0.43782,0.99997898464,2.1015359999999996e-05,0.9999750000000003,2.5e-05,0.0,0.98882,0.00042,0.00036,5e-05,0.0,0.0,-3.2,False,False,3e-05,0.00039
x1 = -4.6,-4.6,0.9999520000000001,4.7999999999999994e-05,0.00076,1.0,0.0,0.5621799999999999,0.43782,0.99997898464,2.1015359999999996e-05,0.9999750000000003,2.5e-05,0.0,0.98882,0.00042,0.00036,5e-05,0.0,0.0,-3.2,False,False,3e-05,0.00039
x1 = -4.6,-4.6,0.9999520000000001,4.7999999999999994e-05,0.00076,1.0,0.0,0.5621799999999999,0.43782,0.99997898464,2.1015359999999996e-05,0.9999750000000003,2.5e-05,0.0,0.98882,0.00042,0.00036,5e-05,0.0,0.0,-3.2,False,False,3e-05,0.00039
x1 = -4.6,-4.6,0.9999520000000001,4.7999999999999994e-05,0.00076,1.0,0.0,0.5621799999999999,0.43782,0.99997898464,2.1015359999999996e-05,0.9999750000000003,2.5e-05,0.0,0.98882,0.00042,0.00036,5e-05,0.0,0.0,-3.2,False,False,3e-05,0.00039
x1 = -4.6,-4.6,0.9999520000000001,4.7999999999999994e-05,0.00076,1.0,0.0,0.5621799999999999,0.43782,0.99997898464,2.1015359999999996e-05,0.9999750000000003,2.5e-05,0.0,0.98882,0.00042,0.00036,5e-05,0.0,0.0,-3.2,False,False,3e-05,0.00039
