note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",kl_pyx_pyxz,kl_pyxz_pyx,true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = 5.8,5.8,0.00019100000000000003,0.999809,0.00264,0.9998400000000001,0.00016,0.9999900000000002,1e-05,0.9999899713500001,1.0028650000000001e-05,0.999964,3.6e-05,0.00225,0.00018,0.00058,0.00018,0.00018,3e-05,2e-05,-1.4,False,False,1e-05,0.00057
x1 = -10.1,-10.1,0.999826,0.00017400000000000003,0.00242,0.9999900000000002,1e-05,0.9985000000000002,0.0014999999999999998,0.9999897407400001,1.025926e-05,0.999964,3.6e-05,0.00018,0.01623,0.00058,0.00018,0.00018,3e-05,2e-05,-1.4,False,False,1e-05,0.00057
x1 = 2.9,2.9,0.0005460000000000002,0.9994540000000001,0.00671,0.9999,0.00010000000000000002,0.9999800000000001,2e-05,0.9999799563200001,2.0043680000000005e-05,0.999964,3.6e-05,0.00147,0.00034,0.00058,0.00034,0.00034,1e-05,1e-05,-1.4,False,False,1e-05,0.00057
x1 = 8.6,8.6,0.000626,0.9993740000000001,0.00756,0.9999299999999998,6.999999999999998e-05,0.9999900000000002,1e-05,0.9999899624400003,1.003756e-05,0.999964,3.6e-05,0.00107,0.00018,0.00058,0.00018,0.00018,3e-05,2e-05,-1.4,False,False,1e-05,0.00057
x1 = 13.1,13.1,0.002216,0.997784,0.02273,0.9999299999999998,6.999999999999998e-05,0.9999900000000002,1e-05,0.9999898670400001,1.013296e-05,0.999964,3.6e-05,0.00107,0.00018,0.00058,0.00018,0.00018,3e-05,2e-05,-1.4,False,False,1e-05,0.00057
x1 = -4.2,-4.2,0.999907,9.300000000000001e-05,0.00138,0.9999900000000002,1e-05,0.9770199999999998,0.02298,0.9999878637900002,1.213621e-05,0.999964,3.6e-05,0.00018,0.15786,0.00058,0.00022,0.00019,2e-05,2e-05,-1.4,False,False,1e-05,0.00057
x1 = -4.2,-4.2,0.999907,9.300000000000001e-05,0.00138,0.9999900000000002,1e-05,0.9770199999999998,0.02298,0.9999878637900002,1.213621e-05,0.999964,3.6e-05,0.00018,0.15786,0.00058,0.00022,0.00019,2e-05,2e-05,-1.4,False,False,1e-05,0.00057
x1 = -5.0,-5.0,0.99993,7.000000000000001e-05,0.00107,0.9999900000000002,1e-05,0.9959299999999998,0.004069999999999999,0.9999897158000001,1.02842e-05,0.999964,3.6e-05,0.00018,0.03818,0.00058,0.00019,0.00018,3e-05,2e-05,-1.4,False,False,1e-05,0.00057
x1 = -4.1,-4.1,0.9999500000000001,5e-05,0.00079,1.0,0.0,0.97069,0.029309999999999996,0.9999985345000001,1.4654999999999998e-06,0.999964,3.6e-05,0.0,0.19092,0.00058,3e-05,1e-05,0.00012,4e-05,-1.4,False,False,1e-05,0.00057
x1 = -5.0,-5.0,0.99993,7.000000000000001e-05,0.00107,0.9999900000000002,1e-05,0.9959299999999998,0.004069999999999999,0.9999897158000001,1.02842e-05,0.999964,3.6e-05,0.00018,0.03818,0.00058,0.00019,0.00018,3e-05,2e-05,-1.4,False,False,1e-05,0.00057
x1 = -4.5,-4.5,0.999926,7.4e-05,0.00112,0.9999900000000002,1e-05,0.9890100000000002,0.01099,0.9999891874800001,1.081252e-05,0.999964,3.6e-05,0.00018,0.08729,0.00058,0.00019,0.00019,3e-05,2e-05,-1.4,False,False,1e-05,0.00057
x1 = -8.4,-8.4,0.999905,9.5e-05,0.00141,0.9999900000000002,1e-05,0.9947800000000002,0.005220000000000001,0.9999895050500002,1.049495e-05,0.999964,3.6e-05,0.00018,0.04709,0.00058,0.00019,0.00018,3e-05,2e-05,-1.4,False,False,1e-05,0.00057
x1 = -4.5,-4.5,0.999926,7.4e-05,0.00112,0.9999900000000002,1e-05,0.9890100000000002,0.01099,0.9999891874800001,1.081252e-05,0.999964,3.6e-05,0.00018,0.08729,0.00058,0.00019,0.00019,3e-05,2e-05,-1.4,False,False,1e-05,0.00057
x1 = -4.0,-4.0,0.9998970000000001,0.00010300000000000001,0.00151,1.0,0.0,0.99142,0.008580000000000003,0.9999991162600002,8.837400000000004e-07,0.999964,3.6e-05,0.0,0.07123,0.00058,2e-05,1e-05,0.00014,5e-05,-1.4,False,False,1e-05,0.00057
x1 = -4.0,-4.0,0.9998970000000001,0.00010300000000000001,0.00151,1.0,0.0,0.99142,0.008580000000000003,0.9999991162600002,8.837400000000004e-07,0.999964,3.6e-05,0.0,0.07123,0.00058,2e-05,1e-05,0.00014,5e-05,-1.4,False,False,1e-05,0.00057
