x1,label,note,p(u=0|z),p(u=1|z),H[p(u|z)],"p(u=0|z,x)","p(u=1|z,x)","p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,min_Va,max_Ve
-1.6,0,x1 = -1.6,0.9999,0.0001,0.00147,0.99993,7e-05,0.029309999999999996,0.97069,0.00317,0.9968299999999999,0.029307385999999994,0.9706926140000001,0.14805,0.8519500000000001,0.19092,0.03088,0.60494,0.19091,0.19091,0.2,True,0.48861,0.11633
6.7,0,x1 = 6.7,0.0,1.0,0.0,0.0,1.0,0.04743,0.95257,0.04743,0.95257,0.04743,0.95257,0.14805,0.8519500000000001,0.27538,0.27538,0.60494,0.27538,0.27538,0.2,True,0.48861,0.11633
-3.7,0,x1 = -3.7,1.0,0.0,0.0,1.0,0.0,0.00669,0.9933099999999999,0.00193,0.99807,0.00669,0.9933099999999999,0.14805,0.8519500000000001,0.05795,0.02018,0.60494,0.05795,0.05795,0.2,True,0.48861,0.11633
-0.9,0,x1 = -0.9,1.0,0.0,0.0,1.0,0.0,0.26894,0.73106,0.00193,0.99807,0.26894,0.73106,0.14805,0.8519500000000001,0.83994,0.02018,0.60494,0.83994,0.83994,0.2,True,0.48861,0.11633
-1.8,0,x1 = -1.8,0.9999499999999999,5e-05,0.00079,0.99996,4e-05,0.01799,0.98201,0.00247,0.99753,0.017989223999999998,0.982010776,0.14805,0.8519500000000001,0.13,0.02495,0.60494,0.13,0.13,0.2,True,0.48861,0.11633
-9.8,0,x1 = -9.8,1.0,0.0,0.0,1.0,0.0,0.00858,0.99142,0.00247,0.99753,0.00858,0.99142,0.14805,0.8519500000000001,0.07123,0.02495,0.60494,0.07123,0.07123,0.2,True,0.48861,0.11633
-1.5,0,x1 = -1.5,0.99993,7e-05,0.00107,0.9999400000000002,6.000000000000001e-05,0.03733,0.9626699999999999,0.00317,0.9968299999999999,0.0373276088,0.9626723911999999,0.14805,0.8519500000000001,0.22991,0.03088,0.60494,0.2299,0.2299,0.2,True,0.48861,0.11633
10.0,0,x1 = 10.0,0.0,1.0,0.0,0.0,1.0,0.04743,0.95257,0.04743,0.95257,0.04743,0.95257,0.14805,0.8519500000000001,0.27538,0.27538,0.60494,0.27538,0.27538,0.2,True,0.48861,0.11633
3.3,0,x1 = 3.3,0.7387480000000001,0.261252,0.82863,0.7820360000000001,0.217964,0.14805,0.8519500000000001,0.00858,0.99142,0.11161318356,0.8883868164400002,0.14805,0.8519500000000001,0.60494,0.07123,0.60494,0.50476,0.48861,0.2,True,0.48861,0.11633
2.8,0,x1 = 2.8,0.818242,0.18175800000000003,0.68391,0.938818,0.06118199999999999,0.26894,0.73106,0.02298,0.9770199999999999,0.22423480232,0.7757651976800001,0.14805,0.8519500000000001,0.83994,0.15786,0.60494,0.76783,0.79821,0.2,True,0.48861,0.11633
