x1,label,note,p(u=0|z),p(u=1|z),H[p(u|z)],"p(u=0|z,x)","p(u=1|z,x)","p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,min_Va,max_Ve
-1.6,0,x1 = -1.6,0.9999,0.0001,0.00147,0.9998799999999999,0.00012000000000000002,0.029309999999999996,0.97069,0.03733,0.9626699999999999,0.029310801999999993,0.9706891980000001,0.00858,0.99142,0.19092,0.22991,0.07123,0.19092,0.19092,4.2,False,0.13,-0.05877
6.7,0,x1 = 6.7,0.0,1.0,0.0,0.0,1.0,0.587982,0.41201799999999994,0.346572,0.6534280000000001,0.346572,0.6534280000000001,0.00858,0.99142,0.97755,0.93097,0.07123,0.93097,0.93097,4.2,False,0.13,-0.05877
-3.7,0,x1 = -3.7,1.0,0.0,0.0,1.0,0.0,0.06009,0.93991,0.02298,0.9770199999999999,0.06009,0.93991,0.00858,0.99142,0.3278,0.15786,0.07123,0.3278,0.3278,4.2,False,0.13,-0.05877
-0.9,0,x1 = -0.9,1.0,0.0,0.0,1.0,0.0,0.02298,0.9770199999999999,0.22270000000000004,0.7773,0.02298,0.9770199999999999,0.00858,0.99142,0.15786,0.76507,0.07123,0.15786,0.15786,4.2,False,0.13,-0.05877
-1.8,0,x1 = -1.8,0.9999499999999999,5e-05,0.00079,0.9999400000000002,6.000000000000001e-05,0.01799,0.98201,0.02298,0.9770199999999999,0.017990249499999996,0.9820097505,0.00858,0.99142,0.13,0.15786,0.07123,0.13,0.13,4.2,False,0.13,-0.05877
-9.8,0,x1 = -9.8,1.0,0.0,0.0,1.0,0.0,0.1192,0.8808,0.03733,0.9626699999999999,0.1192,0.8808,0.00858,0.99142,0.52706,0.22991,0.07123,0.52706,0.52706,4.2,False,0.13,-0.05877
-1.5,0,x1 = -1.5,0.99993,7e-05,0.00107,0.9999400000000002,6.000000000000001e-05,0.06009,0.93991,0.06009,0.93991,0.06008999999999999,0.93991,0.00858,0.99142,0.3278,0.3278,0.07123,0.3278,0.3278,4.2,False,0.13,-0.05877
10.0,0,x1 = 10.0,0.0,1.0,0.0,0.0,1.0,0.1192,0.8808,0.22270000000000004,0.7773,0.22270000000000004,0.7773,0.00858,0.99142,0.52706,0.76507,0.07123,0.76507,0.76507,4.2,False,0.13,-0.05877
3.3,0,x1 = 3.3,0.7387480000000001,0.261252,0.82863,0.819028,0.180972,0.09535,0.90465,0.26894,0.73106,0.14070073468,0.85929926532,0.00858,0.99142,0.45408,0.83994,0.07123,0.58607,0.52391,4.2,False,0.13,-0.05877
2.8,0,x1 = 2.8,0.818242,0.18175800000000003,0.68391,0.9241399999999999,0.07586,0.04743,0.95257,0.14805,0.8519500000000001,0.06571848996000001,0.9342815100400002,0.00858,0.99142,0.27538,0.60494,0.07123,0.34974,0.30038,4.2,False,0.13,-0.05877
