x1,label,note,p(u=0|z),p(u=1|z),H[p(u|z)],"p(u=0|z,x)","p(u=1|z,x)","p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,min_Va,max_Ve
2.1,0,x1 = 2.1,1.0,0.0,0.0,0.99999,1e-05,1.0,0.0,0.99996,4e-05,1.0,0.0,1.0,0.0,0.0,0.00064,0.0,0.0,0.0,0.8,True,0.0,0.0
5.7,0,x1 = 5.7,0.0,1.0,0.0,0.0,1.0,0.99997,3.0000000000000004e-05,1.0,0.0,1.0,0.0,1.0,0.0,0.00049,0.0,0.0,0.0,0.0,0.8,True,0.0,0.0
1.2,0,x1 = 1.2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9073880000000001,0.09261199999999999,1.0,0.0,1.0,0.0,0.0,0.44513,0.0,0.0,0.0,0.8,True,0.0,0.0
-10.0,0,x1 = -10.0,0.9994499999999998,0.00055,0.00675,0.99909,0.00091,1.0,0.0,0.9996600000000001,0.00034,0.9999998129999998,1.8700000000000002e-07,1.0,0.0,0.0,0.00441,0.0,0.0,0.0,0.8,True,0.0,0.0
-10.0,0,x1 = -10.0,0.9994499999999998,0.00055,0.00675,0.99909,0.00091,1.0,0.0,0.9996600000000001,0.00034,0.9999998129999998,1.8700000000000002e-07,1.0,0.0,0.0,0.00441,0.0,0.0,0.0,0.8,True,0.0,0.0
-10.0,0,x1 = -10.0,0.9994499999999998,0.00055,0.00675,0.99909,0.00091,1.0,0.0,0.9996600000000001,0.00034,0.9999998129999998,1.8700000000000002e-07,1.0,0.0,0.0,0.00441,0.0,0.0,0.0,0.8,True,0.0,0.0
-10.0,0,x1 = -10.0,0.9994499999999998,0.00055,0.00675,0.99909,0.00091,1.0,0.0,0.9996600000000001,0.00034,0.9999998129999998,1.8700000000000002e-07,1.0,0.0,0.0,0.00441,0.0,0.0,0.0,0.8,True,0.0,0.0
-10.0,0,x1 = -10.0,0.9994499999999998,0.00055,0.00675,0.99909,0.00091,1.0,0.0,0.9996600000000001,0.00034,0.9999998129999998,1.8700000000000002e-07,1.0,0.0,0.0,0.00441,0.0,0.0,0.0,0.8,True,0.0,0.0
-10.0,0,x1 = -10.0,0.9994499999999998,0.00055,0.00675,0.99909,0.00091,1.0,0.0,0.9996600000000001,0.00034,0.9999998129999998,1.8700000000000002e-07,1.0,0.0,0.0,0.00441,0.0,0.0,0.0,0.8,True,0.0,0.0
-9.0,0,x1 = -9.0,0.99929,0.00071,0.00845,0.9985000000000002,0.0015,1.0,0.0,0.9994499999999998,0.00055,0.9999996095,3.905e-07,1.0,0.0,0.0,0.00675,0.0,1e-05,1e-05,0.8,True,0.0,0.0
