note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = -7.7,-7.7,0.9789939999999999,0.021006,0.14705,0.22270000000000004,0.7773,0.56218,0.43782,0.22983111688000002,0.77016888312,0.288638,0.7113619999999999,0.76507,0.98882,0.86696,0.77772,0.76977,12.2,False,False,0.3542,0.51276
x1 = 2.6,2.6,0.34446799999999994,0.655532,0.92903,0.26894,0.73106,0.26894,0.73106,0.26893999999999996,0.73106,0.288638,0.7113619999999999,0.83994,0.83994,0.86696,0.83994,0.83994,12.2,True,False,0.3542,0.51276
x1 = 4.1,4.1,0.504866,0.495134,0.99993,0.5,0.5,0.32082,0.67918,0.41128188988000003,0.5887181101200001,0.288638,0.7113619999999999,1.0,0.90527,0.86696,0.97717,0.9531,12.2,False,False,0.3542,0.51276
x1 = 3.1,3.1,0.278374,0.7216260000000001,0.85323,0.26894,0.73106,0.26894,0.73106,0.26894000000000007,0.7310600000000002,0.288638,0.7113619999999999,0.83994,0.83994,0.86696,0.83994,0.83994,12.2,True,False,0.3542,0.51276
x1 = 8.3,8.3,0.286144,0.713856,0.86369,0.67918,0.32082,0.06009,0.93991,0.23723888896,0.7627611110400001,0.288638,0.7113619999999999,0.90527,0.3278,0.86696,0.79042,0.49304,12.2,False,False,0.3542,0.51276
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8519500000000001,0.14805,0.03733,0.9626699999999999,0.30730810192,0.69269189808,0.288638,0.7113619999999999,0.60494,0.22991,0.86696,0.89004,0.3542,12.2,True,True,0.3542,0.51276
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8519500000000001,0.14805,0.03733,0.9626699999999999,0.30730810192,0.69269189808,0.288638,0.7113619999999999,0.60494,0.22991,0.86696,0.89004,0.3542,12.2,True,True,0.3542,0.51276
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8519500000000001,0.14805,0.03733,0.9626699999999999,0.30730810192,0.69269189808,0.288638,0.7113619999999999,0.60494,0.22991,0.86696,0.89004,0.3542,12.2,True,True,0.3542,0.51276
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8519500000000001,0.14805,0.03733,0.9626699999999999,0.30730810192,0.69269189808,0.288638,0.7113619999999999,0.60494,0.22991,0.86696,0.89004,0.3542,12.2,True,True,0.3542,0.51276
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8519500000000001,0.14805,0.03733,0.9626699999999999,0.30730810192,0.69269189808,0.288638,0.7113619999999999,0.60494,0.22991,0.86696,0.89004,0.3542,12.2,True,True,0.3542,0.51276
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8519500000000001,0.14805,0.03733,0.9626699999999999,0.30730810192,0.69269189808,0.288638,0.7113619999999999,0.60494,0.22991,0.86696,0.89004,0.3542,12.2,True,True,0.3542,0.51276
x1 = 8.7,8.7,0.271214,0.728786,0.8432,0.67918,0.32082,0.06009,0.93991,0.22799587526,0.77200412474,0.288638,0.7113619999999999,0.90527,0.3278,0.86696,0.7745,0.48442,12.2,False,False,0.3542,0.51276
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8519500000000001,0.14805,0.03733,0.9626699999999999,0.30730810192,0.69269189808,0.288638,0.7113619999999999,0.60494,0.22991,0.86696,0.89004,0.3542,12.2,True,True,0.3542,0.51276
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8519500000000001,0.14805,0.03733,0.9626699999999999,0.30730810192,0.69269189808,0.288638,0.7113619999999999,0.60494,0.22991,0.86696,0.89004,0.3542,12.2,True,True,0.3542,0.51276
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8519500000000001,0.14805,0.03733,0.9626699999999999,0.30730810192,0.69269189808,0.288638,0.7113619999999999,0.60494,0.22991,0.86696,0.89004,0.3542,12.2,True,True,0.3542,0.51276
