note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = 10.1,10.1,0.31313,0.68687,0.89675,0.8808,0.1192,0.04743,0.95257,0.3083831481,0.6916168519,0.288428,0.711572,0.52706,0.27538,0.86668,0.8913,0.35419,9.0,True,True,0.35419,0.51249
x1 = 11.0,11.0,0.293818,0.706182,0.8736,0.73106,0.26894,0.07586,0.9241399999999999,0.26836955360000003,0.7316304463999999,0.288428,0.711572,0.83994,0.38742,0.86668,0.83912,0.52038,9.0,True,False,0.35419,0.51249
x1 = -12.8,-12.8,0.97715,0.022850000000000002,0.15716,0.14805,0.8519500000000001,0.5,0.5,0.15609205749999996,0.8439079425000001,0.288428,0.711572,0.60494,1.0,0.86668,0.62488,0.61397,9.0,False,False,0.35419,0.51249
x1 = -6.2,-6.2,0.9636020000000001,0.036398,0.22553,0.32082,0.67918,0.62246,0.37754,0.33179909272,0.6682009072800001,0.288428,0.711572,0.90527,0.95629,0.86668,0.91675,0.90713,9.0,False,False,0.35419,0.51249
x1 = -12.9,-12.9,0.980124,0.019876,0.14074,0.14805,0.8519500000000001,0.56218,0.43782,0.15628124787999997,0.8437187521200001,0.288428,0.711572,0.60494,0.98882,0.86668,0.62534,0.61257,9.0,False,False,0.35419,0.51249
x1 = 5.1,5.1,0.37615799999999994,0.623842,0.95528,0.5,0.5,0.09535,0.90465,0.24756233469999997,0.7524376653,0.288428,0.711572,1.0,0.45408,0.86668,0.80739,0.65943,9.0,False,False,0.35419,0.51249
x1 = -9.2,-9.2,0.978794,0.021206000000000003,0.14816,0.26894,0.73106,0.62246,0.37754,0.27643674512000005,0.7235632548800001,0.288428,0.711572,0.83994,0.95629,0.86668,0.85055,0.84241,9.0,True,False,0.35419,0.51249
x1 = 5.1,5.1,0.37615799999999994,0.623842,0.95528,0.5,0.5,0.09535,0.90465,0.24756233469999997,0.7524376653,0.288428,0.711572,1.0,0.45408,0.86668,0.80739,0.65943,9.0,False,False,0.35419,0.51249
x1 = 5.0,5.0,0.41090199999999993,0.5890980000000001,0.97697,0.5,0.5,0.06009,0.93991,0.24084989881999996,0.75915010118,0.288428,0.711572,1.0,0.3278,0.86668,0.79645,0.60401,9.0,False,False,0.35419,0.51249
x1 = -8.5,-8.5,0.978546,0.021454,0.14953,0.18243,0.8175700000000001,0.62246,0.37754,0.19187040362000002,0.8081295963800001,0.288428,0.711572,0.68536,0.95629,0.86668,0.70537,0.69117,9.0,False,False,0.35419,0.51249
x1 = 5.1,5.1,0.37615799999999994,0.623842,0.95528,0.5,0.5,0.09535,0.90465,0.24756233469999997,0.7524376653,0.288428,0.711572,1.0,0.45408,0.86668,0.80739,0.65943,9.0,False,False,0.35419,0.51249
x1 = -8.5,-8.5,0.978546,0.021454,0.14953,0.18243,0.8175700000000001,0.62246,0.37754,0.19187040362000002,0.8081295963800001,0.288428,0.711572,0.68536,0.95629,0.86668,0.70537,0.69117,9.0,False,False,0.35419,0.51249
x1 = -9.2,-9.2,0.978794,0.021206000000000003,0.14816,0.26894,0.73106,0.62246,0.37754,0.27643674512000005,0.7235632548800001,0.288428,0.711572,0.83994,0.95629,0.86668,0.85055,0.84241,9.0,True,False,0.35419,0.51249
x1 = 4.9,4.9,0.42199,0.5780100000000001,0.98237,0.37754,0.62246,0.07586,0.9241399999999999,0.20316594319999998,0.7968340568000001,0.288428,0.711572,0.95629,0.38742,0.86668,0.72821,0.62748,9.0,False,False,0.35419,0.51249
x1 = -8.5,-8.5,0.978546,0.021454,0.14953,0.18243,0.8175700000000001,0.62246,0.37754,0.19187040362000002,0.8081295963800001,0.288428,0.711572,0.68536,0.95629,0.86668,0.70537,0.69117,9.0,False,False,0.35419,0.51249
