note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = 4.1,4.1,0.504866,0.495134,0.99993,0.99142,0.00858,0.9947800000000001,0.00522,0.9930836502400001,0.006916349760000001,0.958304,0.041696,0.07123,0.04709,0.25001,0.05957,0.05928,-6.0,False,False,0.03869,0.21132
x1 = 8.3,8.3,0.286144,0.713856,0.86369,0.9890100000000001,0.01099,0.9959299999999999,0.00407,0.99394988352,0.00605011648,0.958304,0.041696,0.08729,0.03818,0.25001,0.05328,0.05223,-6.0,False,False,0.03869,0.21132
x1 = -3.8,-3.8,0.87841,0.12159,0.53391,0.99753,0.00247,0.62246,0.37754,0.9519252387,0.0480747613,0.958304,0.041696,0.02495,0.95629,0.25001,0.27816,0.13819,-6.0,False,False,0.03869,0.21132
x1 = -6.0,-6.0,0.958304,0.041696,0.25001,0.99142,0.00858,0.37754,0.62246,0.9658236595199999,0.03417634048,0.958304,0.041696,0.07123,0.95629,0.25001,0.21492,0.10813,-6.0,False,False,0.03869,0.21132
x1 = 0.9,0.9,0.426524,0.5734760000000001,0.98437,0.9626699999999999,0.03733,0.9968299999999999,0.00317,0.9822599401600001,0.017740059840000003,0.958304,0.041696,0.22991,0.03088,0.25001,0.12856,0.11577,-6.0,False,False,0.03869,0.21132
x1 = 2.4,2.4,0.388004,0.6119960000000001,0.9635,0.99142,0.00858,0.9959299999999999,0.00407,0.9941801019600001,0.00581989804,0.958304,0.041696,0.07123,0.03818,0.25001,0.05158,0.051,-6.0,False,False,0.03869,0.21132
x1 = 5.7,5.7,0.343094,0.656906,0.92775,0.9890100000000001,0.01099,0.9947800000000001,0.00522,0.9928003476200001,0.00719965238,0.958304,0.041696,0.08729,0.04709,0.25001,0.0616,0.06088,-6.0,False,False,0.03869,0.21132
x1 = -1.1,-1.1,0.570398,0.42960200000000004,0.98565,0.9959299999999999,0.00407,0.99142,0.00858,0.9939924949799999,0.006007505020000001,0.958304,0.041696,0.03818,0.07123,0.25001,0.05297,0.05238,-6.0,False,False,0.03869,0.21132
x1 = -8.1,-8.1,0.97669,0.023310000000000004,0.15964,0.99753,0.00247,0.43782,0.56218,0.9844831598999999,0.015516840100000004,0.958304,0.041696,0.02495,0.98882,0.25001,0.11547,0.04742,-6.0,False,False,0.03869,0.21132
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.98594,0.01406,0.9959299999999999,0.00407,0.99261915416,0.007380845840000001,0.958304,0.041696,0.10664,0.03818,0.25001,0.06288,0.06087,-6.0,False,False,0.03869,0.21132
x1 = -9.4,-9.4,0.980222,0.019778,0.14019,0.99807,0.00193,0.37754,0.62246,0.98579715766,0.01420284234,0.958304,0.041696,0.02018,0.95629,0.25001,0.10752,0.03869,-6.0,False,False,0.03869,0.21132
x1 = -10.0,-10.0,0.971984,0.028016000000000003,0.18434,0.9985000000000002,0.0015,0.43782,0.56218,0.9827919891200001,0.017208010880000003,0.958304,0.041696,0.01623,0.98882,0.25001,0.12546,0.04348,-6.0,False,False,0.03869,0.21132
x1 = 5.0,5.0,0.41090199999999993,0.5890980000000001,0.97697,0.99142,0.00858,0.9947800000000001,0.00522,0.99339936928,0.00660063072,0.958304,0.041696,0.07123,0.04709,0.25001,0.0573,0.05701,-6.0,False,False,0.03869,0.21132
x1 = 2.5,2.5,0.358742,0.641258,0.94163,0.99142,0.00858,0.9947800000000001,0.00522,0.9935746268800001,0.00642537312,0.958304,0.041696,0.07123,0.04709,0.25001,0.05603,0.05575,-6.0,False,False,0.03869,0.21132
x1 = -9.1,-9.1,0.9792660000000002,0.020734,0.14554,0.99753,0.00247,0.43782,0.56218,0.9859249728600002,0.01407502714,0.958304,0.041696,0.02495,0.98882,0.25001,0.10673,0.04493,-6.0,False,False,0.03869,0.21132
