note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = 9.3,9.3,0.25190199999999996,0.748098,0.81428,0.43782,0.56218,0.14805,0.8519500000000001,0.22104364253999997,0.77895635746,0.27926799999999996,0.720732,0.98882,0.60494,0.85445,0.76207,0.70164,7.6,False,False,0.83288,0.02157
x1 = 14.1,14.1,0.288638,0.7113619999999999,0.86696,0.5,0.5,0.22270000000000004,0.7773,0.30273931740000004,0.6972606826,0.27926799999999996,0.720732,1.0,0.76507,0.85445,0.88461,0.83288,7.6,True,True,0.83288,0.02157
x1 = -10.9,-10.9,0.9756400000000001,0.02436,0.16527,0.18243,0.8175700000000001,0.5,0.5,0.19016600520000002,0.8098339948000002,0.27926799999999996,0.720732,0.68536,1.0,0.85445,0.70182,0.69302,7.6,False,False,0.83288,0.02157
x1 = -2.5,-2.5,0.773644,0.226356,0.7716,0.26894,0.73106,0.5,0.5,0.32124181736,0.67875818264,0.27926799999999996,0.720732,0.83994,1.0,0.85445,0.90573,0.87617,7.6,False,False,0.83288,0.02157
x1 = -9.0,-9.0,0.979306,0.020694,0.14532,0.22270000000000004,0.7773,0.56218,0.43782,0.22972519912000003,0.77027480088,0.27926799999999996,0.720732,0.76507,0.98882,0.85445,0.77753,0.7697,7.6,False,False,0.83288,0.02157
x1 = 8.7,8.7,0.271214,0.728786,0.8432,0.56218,0.43782,0.07586,0.9241399999999999,0.20775679248,0.7922432075199999,0.27926799999999996,0.720732,0.98882,0.38742,0.85445,0.73717,0.55053,7.6,False,False,0.83288,0.02157
x1 = 8.8,8.8,0.30545600000000006,0.6945439999999999,0.88786,0.56218,0.43782,0.09535,0.90465,0.23794602448000005,0.7620539755199999,0.27926799999999996,0.720732,0.98882,0.45408,0.85445,0.79161,0.61742,7.6,False,False,0.83288,0.02157
x1 = 8.8,8.8,0.30545600000000006,0.6945439999999999,0.88786,0.56218,0.43782,0.09535,0.90465,0.23794602448000005,0.7620539755199999,0.27926799999999996,0.720732,0.98882,0.45408,0.85445,0.79161,0.61742,7.6,False,False,0.83288,0.02157
x1 = 8.7,8.7,0.271214,0.728786,0.8432,0.56218,0.43782,0.07586,0.9241399999999999,0.20775679248,0.7922432075199999,0.27926799999999996,0.720732,0.98882,0.38742,0.85445,0.73717,0.55053,7.6,False,False,0.83288,0.02157
x1 = 8.7,8.7,0.271214,0.728786,0.8432,0.56218,0.43782,0.07586,0.9241399999999999,0.20775679248,0.7922432075199999,0.27926799999999996,0.720732,0.98882,0.38742,0.85445,0.73717,0.55053,7.6,False,False,0.83288,0.02157
x1 = 8.7,8.7,0.271214,0.728786,0.8432,0.56218,0.43782,0.07586,0.9241399999999999,0.20775679248,0.7922432075199999,0.27926799999999996,0.720732,0.98882,0.38742,0.85445,0.73717,0.55053,7.6,False,False,0.83288,0.02157
x1 = 8.7,8.7,0.271214,0.728786,0.8432,0.56218,0.43782,0.07586,0.9241399999999999,0.20775679248,0.7922432075199999,0.27926799999999996,0.720732,0.98882,0.38742,0.85445,0.73717,0.55053,7.6,False,False,0.83288,0.02157
x1 = 8.7,8.7,0.271214,0.728786,0.8432,0.56218,0.43782,0.07586,0.9241399999999999,0.20775679248,0.7922432075199999,0.27926799999999996,0.720732,0.98882,0.38742,0.85445,0.73717,0.55053,7.6,False,False,0.83288,0.02157
x1 = 8.7,8.7,0.271214,0.728786,0.8432,0.56218,0.43782,0.07586,0.9241399999999999,0.20775679248,0.7922432075199999,0.27926799999999996,0.720732,0.98882,0.38742,0.85445,0.73717,0.55053,7.6,False,False,0.83288,0.02157
x1 = 8.7,8.7,0.271214,0.728786,0.8432,0.56218,0.43782,0.07586,0.9241399999999999,0.20775679248,0.7922432075199999,0.27926799999999996,0.720732,0.98882,0.38742,0.85445,0.73717,0.55053,7.6,False,False,0.83288,0.02157
