note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = 7.4,7.4,0.27480000000000004,0.7252,0.84827,0.73106,0.26894,0.56218,0.43782,0.608588224,0.391411776,0.5369280000000001,0.46307200000000004,0.83994,0.98882,0.99606,0.9657,0.94791,4.0,True,True,0.94791,0.04815
x1 = -1.2,-1.2,0.570398,0.42960200000000004,0.98565,0.73106,0.26894,0.73106,0.26894,0.73106,0.26894,0.5369280000000001,0.46307200000000004,0.83994,0.83994,0.99606,0.83994,0.83994,4.0,False,False,0.94791,0.04815
x1 = -7.2,-7.2,0.97933,0.02067,0.14519,0.62246,0.37754,0.56218,0.43782,0.6212140124000001,0.3787859876,0.5369280000000001,0.46307200000000004,0.95629,0.98882,0.99606,0.95718,0.95696,4.0,True,False,0.94791,0.04815
x1 = -3.1,-3.1,0.8673019999999999,0.132698,0.56479,0.67918,0.32082,0.62246,0.37754,0.6716533694399999,0.32834663055999996,0.5369280000000001,0.46307200000000004,0.90527,0.95629,0.99606,0.91323,0.91204,4.0,False,False,0.94791,0.04815
x1 = -5.7,-5.7,0.96578,0.03422,0.21513,0.73106,0.26894,0.62246,0.37754,0.727343708,0.272656292,0.5369280000000001,0.46307200000000004,0.83994,0.95629,0.99606,0.84525,0.84392,4.0,False,False,0.94791,0.04815
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.67918,0.32082,0.56218,0.43782,0.600955672,0.399044328,0.5369280000000001,0.46307200000000004,0.90527,0.98882,0.99606,0.97039,0.96113,4.0,True,False,0.94791,0.04815
x1 = 2.8,2.8,0.369282,0.6307180000000001,0.95012,0.62246,0.37754,0.73106,0.26894,0.6909559748000002,0.3090440252,0.5369280000000001,0.46307200000000004,0.95629,0.83994,0.99606,0.89207,0.88291,4.0,False,False,0.94791,0.04815
x1 = -10.0,-10.0,0.971984,0.028016000000000003,0.18434,0.56218,0.43782,0.62246,0.37754,0.56386880448,0.43613119552,0.5369280000000001,0.46307200000000004,0.98882,0.95629,0.99606,0.9882,0.98791,4.0,True,False,0.94791,0.04815
x1 = 5.6,5.6,0.36481399999999997,0.635186,0.94661,0.8175700000000001,0.18243,0.62246,0.37754,0.69363885954,0.30636114045999996,0.5369280000000001,0.46307200000000004,0.68536,0.95629,0.99606,0.88893,0.85745,4.0,False,False,0.94791,0.04815
x1 = 2.3,2.3,0.383398,0.616602,0.96041,0.67918,0.32082,0.67918,0.32082,0.67918,0.32082,0.5369280000000001,0.46307200000000004,0.90527,0.90527,0.99606,0.90527,0.90527,4.0,False,False,0.94791,0.04815
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.67918,0.32082,0.56218,0.43782,0.600955672,0.399044328,0.5369280000000001,0.46307200000000004,0.90527,0.98882,0.99606,0.97039,0.96113,4.0,True,False,0.94791,0.04815
x1 = -10.0,-10.0,0.971984,0.028016000000000003,0.18434,0.56218,0.43782,0.62246,0.37754,0.56386880448,0.43613119552,0.5369280000000001,0.46307200000000004,0.98882,0.95629,0.99606,0.9882,0.98791,4.0,True,False,0.94791,0.04815
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.67918,0.32082,0.56218,0.43782,0.600955672,0.399044328,0.5369280000000001,0.46307200000000004,0.90527,0.98882,0.99606,0.97039,0.96113,4.0,True,False,0.94791,0.04815
x1 = 2.3,2.3,0.383398,0.616602,0.96041,0.67918,0.32082,0.67918,0.32082,0.67918,0.32082,0.5369280000000001,0.46307200000000004,0.90527,0.90527,0.99606,0.90527,0.90527,4.0,False,False,0.94791,0.04815
x1 = 6.0,6.0,0.375568,0.6244320000000001,0.95485,0.7773,0.22270000000000004,0.56218,0.43782,0.6429721881600001,0.3570278118400001,0.5369280000000001,0.46307200000000004,0.76507,0.98882,0.99606,0.94019,0.90479,4.0,False,False,0.94791,0.04815
