note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = -1.0,-1.0,0.491842,0.5081580000000001,0.99981,0.37754,0.62246,0.56218,0.43782,0.47136629312000006,0.52863370688,0.331416,0.6685840000000001,0.95629,0.98882,0.91637,0.99763,0.97282,10.0,False,False,0.45386,0.46251
x1 = 0.5,0.5,0.7900159999999999,0.209984,0.74145,0.18243,0.8175700000000001,0.26894,0.73106,0.20059571584,0.7994042841600001,0.331416,0.6685840000000001,0.68536,0.83994,0.91637,0.72312,0.71782,10.0,False,False,0.45386,0.46251
x1 = -0.2,-0.2,0.717058,0.28294199999999997,0.85943,0.37754,0.62246,0.62246,0.37754,0.44683815464,0.55316184536,0.331416,0.6685840000000001,0.95629,0.95629,0.91637,0.99183,0.95629,10.0,True,False,0.45386,0.46251
x1 = -0.4,-0.4,0.712676,0.287324,0.86524,0.37754,0.62246,0.62246,0.37754,0.44791139408,0.55208860592,0.331416,0.6685840000000001,0.95629,0.95629,0.91637,0.99216,0.95629,10.0,True,False,0.45386,0.46251
x1 = -1.5,-1.5,0.535834,0.46416599999999997,0.99629,0.37754,0.62246,0.56218,0.43782,0.46324361024,0.5367563897600001,0.331416,0.6685840000000001,0.95629,0.98882,0.91637,0.9961,0.97139,10.0,False,False,0.45386,0.46251
x1 = 0.8,0.8,0.60822,0.39177999999999996,0.96594,0.32082,0.67918,0.26894,0.73106,0.3004944536,0.6995055464,0.331416,0.6685840000000001,0.90527,0.83994,0.91637,0.88189,0.87968,10.0,True,False,0.45386,0.46251
x1 = 0.4,0.4,0.8766740000000001,0.123326,0.53885,0.32082,0.67918,0.56218,0.43782,0.35058596336000003,0.6494140366400001,0.331416,0.6685840000000001,0.90527,0.98882,0.91637,0.93459,0.91557,10.0,True,False,0.45386,0.46251
x1 = -8.1,-8.1,0.97669,0.023310000000000004,0.15964,0.22270000000000004,0.7773,0.56218,0.43782,0.23061327880000002,0.7693867211999998,0.331416,0.6685840000000001,0.76507,0.98882,0.91637,0.77908,0.77029,10.0,False,False,0.45386,0.46251
x1 = -9.6,-9.6,0.978064,0.021936000000000004,0.15218,0.22270000000000004,0.7773,0.56218,0.43782,0.23014683328000005,0.76985316672,0.331416,0.6685840000000001,0.76507,0.98882,0.91637,0.77827,0.76998,10.0,False,False,0.45386,0.46251
x1 = 3.0,3.0,0.321814,0.678186,0.90634,0.37754,0.62246,0.37754,0.62246,0.37753999999999993,0.62246,0.331416,0.6685840000000001,0.95629,0.95629,0.91637,0.95629,0.95629,10.0,True,False,0.45386,0.46251
x1 = -6.5,-6.5,0.963832,0.03616799999999999,0.22444,0.37754,0.62246,0.62246,0.37754,0.38639826656,0.61360173344,0.331416,0.6685840000000001,0.95629,0.95629,0.91637,0.96244,0.95629,10.0,True,False,0.45386,0.46251
x1 = 9.6,9.6,0.265444,0.734556,0.83485,0.8519500000000001,0.14805,0.06009,0.93991,0.27028448584000003,0.72971551416,0.331416,0.6685840000000001,0.60494,0.3278,0.91637,0.84187,0.40137,10.0,False,False,0.45386,0.46251
x1 = 8.8,8.8,0.30545600000000006,0.6945439999999999,0.88786,0.8519500000000001,0.14805,0.07586,0.9241399999999999,0.3129213470400001,0.6870786529599998,0.331416,0.6685840000000001,0.60494,0.38742,0.91637,0.89652,0.45386,10.0,True,True,0.45386,0.46251
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.90465,0.09535,0.09535,0.90465,0.3635649688,0.6364350312,0.331416,0.6685840000000001,0.45408,0.45408,0.91637,0.9456,0.45408,10.0,True,False,0.45386,0.46251
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.90465,0.09535,0.09535,0.90465,0.3635649688,0.6364350312,0.331416,0.6685840000000001,0.45408,0.45408,0.91637,0.9456,0.45408,10.0,True,False,0.45386,0.46251
