note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = 9.0,9.0,0.288428,0.711572,0.86668,0.9890100000000001,0.01099,0.99753,0.00247,0.9950725934400001,0.00492740656,0.9636020000000001,0.036398,0.08729,0.02495,0.22553,0.04486,0.04293,-6.2,False,False,0.02742,0.19811
x1 = -10.6,-10.6,0.9767659999999999,0.023234,0.15923,0.9985000000000002,0.0015,0.5,0.5,0.9869178510000001,0.013082149000000001,0.9636020000000001,0.036398,0.01623,1.0,0.22553,0.10059,0.03909,-6.2,False,False,0.02742,0.19811
x1 = 1.6,1.6,0.30696,0.69304,0.88963,0.9933099999999999,0.00669,0.99807,0.00193,0.9966088704,0.0033911296,0.9636020000000001,0.036398,0.05795,0.02018,0.22553,0.0327,0.03177,-6.2,False,False,0.02742,0.19811
x1 = -7.7,-7.7,0.9789939999999999,0.021006,0.14705,0.99753,0.00247,0.43782,0.56218,0.9857727317399999,0.01422726826,0.9636020000000001,0.036398,0.02495,0.98882,0.22553,0.10767,0.0452,-6.2,False,False,0.02742,0.19811
x1 = 2.6,2.6,0.34446799999999994,0.655532,0.92903,0.9933099999999999,0.00669,0.9968299999999999,0.00317,0.9956174726399999,0.004382527359999999,0.9636020000000001,0.036398,0.05795,0.03088,0.22553,0.04064,0.0402,-6.2,False,False,0.02742,0.19811
x1 = -0.5,-0.5,0.675988,0.324012,0.90869,0.9959299999999999,0.00407,0.9933099999999999,0.00669,0.9950810885599999,0.00491891144,0.9636020000000001,0.036398,0.03818,0.05795,0.22553,0.04479,0.04459,-6.2,False,False,0.02742,0.19811
x1 = -1.1,-1.1,0.570398,0.42960200000000004,0.98565,0.9968299999999999,0.00317,0.9947800000000001,0.00522,0.9959493158999999,0.0040506841,0.9636020000000001,0.036398,0.03088,0.04709,0.22553,0.03803,0.03784,-6.2,False,False,0.02742,0.19811
x1 = 4.3,4.3,0.495998,0.5040020000000001,0.99995,0.9933099999999999,0.00669,0.9959299999999999,0.00407,0.9946304852399999,0.00536951476,0.9636020000000001,0.036398,0.05795,0.03818,0.22553,0.04822,0.04799,-6.2,False,False,0.02742,0.19811
x1 = -8.6,-8.6,0.9756219999999999,0.024378000000000004,0.16536,0.99807,0.00193,0.43782,0.56218,0.9844122254999998,0.015587774500000002,0.9636020000000001,0.036398,0.02018,0.98882,0.22553,0.11589,0.04379,-6.2,False,False,0.02742,0.19811
x1 = -1.0,-1.0,0.491842,0.5081580000000001,0.99981,0.99753,0.00247,0.9968299999999999,0.00317,0.9971742894000001,0.0028257106000000006,0.9636020000000001,0.036398,0.02495,0.03088,0.22553,0.028,0.02796,-6.2,False,False,0.02742,0.19811
x1 = -0.5,-0.5,0.675988,0.324012,0.90869,0.9959299999999999,0.00407,0.9933099999999999,0.00669,0.9950810885599999,0.00491891144,0.9636020000000001,0.036398,0.03818,0.05795,0.22553,0.04479,0.04459,-6.2,False,False,0.02742,0.19811
x1 = 2.5,2.5,0.358742,0.641258,0.94163,0.9947800000000001,0.00522,0.9968299999999999,0.00317,0.9960945789,0.0039054210999999997,0.9636020000000001,0.036398,0.04709,0.03088,0.22553,0.03687,0.0367,-6.2,False,False,0.02742,0.19811
x1 = -10.0,-10.0,0.971984,0.028016000000000003,0.18434,0.9988300000000001,0.00117,0.5,0.5,0.98485477872,0.015145221280000001,0.9636020000000001,0.036398,0.01308,1.0,0.22553,0.11324,0.04073,-6.2,False,False,0.02742,0.19811
x1 = 1.4,1.4,0.287084,0.7129160000000001,0.86492,0.9947800000000001,0.00522,0.99807,0.00193,0.9971254936400002,0.00287450636,0.9636020000000001,0.036398,0.04709,0.02018,0.22553,0.02841,0.02791,-6.2,False,False,0.02742,0.19811
x1 = 1.5,1.5,0.26920599999999995,0.7307939999999999,0.84032,0.9947800000000001,0.00522,0.99807,0.00193,0.9971843122599999,0.0028156877399999995,0.9636020000000001,0.036398,0.04709,0.02018,0.22553,0.02791,0.02742,-6.2,False,False,0.02742,0.19811
