note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = -0.8,-0.8,0.6635519999999999,0.336448,0.92138,0.5,0.5,0.62246,0.37754,0.54120142208,0.45879857792,0.41090199999999993,0.5890980000000001,1.0,0.95629,0.97697,0.9951,0.98529,5.0,True,False,0.81317,0.1638
x1 = -3.8,-3.8,0.87841,0.12159,0.53391,0.5,0.5,0.56218,0.43782,0.5075604662000001,0.4924395338,0.41090199999999993,0.5890980000000001,1.0,0.98882,0.97697,0.99984,0.99864,5.0,True,False,0.81317,0.1638
x1 = -6.0,-6.0,0.958304,0.041696,0.25001,0.43782,0.56218,0.62246,0.37754,0.44551874944000003,0.55448125056,0.41090199999999993,0.5890980000000001,0.98882,0.95629,0.97697,0.99142,0.98746,5.0,True,False,0.81317,0.1638
x1 = -0.6,-0.6,0.67852,0.32148000000000004,0.90598,0.5,0.5,0.62246,0.37754,0.5393684408,0.4606315592,0.41090199999999993,0.5890980000000001,1.0,0.95629,0.97697,0.99552,0.98595,5.0,True,False,0.81317,0.1638
x1 = -7.5,-7.5,0.9794,0.0206,0.1448,0.43782,0.56218,0.56218,0.43782,0.440381816,0.559618184,0.41090199999999993,0.5890980000000001,0.98882,0.98882,0.97697,0.98972,0.98882,5.0,True,False,0.81317,0.1638
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.56218,0.43782,0.43782,0.56218,0.47903489375999997,0.52096510624,0.41090199999999993,0.5890980000000001,0.98882,0.98882,0.97697,0.99873,0.98882,5.0,True,False,0.81317,0.1638
x1 = 6.2,6.2,0.316594,0.683406,0.90064,0.67918,0.32082,0.43782,0.56218,0.51423312784,0.48576687216000003,0.41090199999999993,0.5890980000000001,0.90527,0.98882,0.97697,0.99942,0.96237,5.0,True,False,0.81317,0.1638
x1 = -10.0,-10.0,0.971984,0.028016000000000003,0.18434,0.37754,0.62246,0.56218,0.43782,0.38271287423999995,0.61728712576,0.41090199999999993,0.5890980000000001,0.95629,0.98882,0.97697,0.95994,0.9572,5.0,True,False,0.81317,0.1638
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.56218,0.43782,0.43782,0.56218,0.47903489375999997,0.52096510624,0.41090199999999993,0.5890980000000001,0.98882,0.98882,0.97697,0.99873,0.98882,5.0,True,False,0.81317,0.1638
x1 = 5.9,5.9,0.34309399999999995,0.6569060000000001,0.92775,0.67918,0.32082,0.22270000000000004,0.7773,0.37931554912,0.6206844508800001,0.41090199999999993,0.5890980000000001,0.90527,0.76507,0.97697,0.95756,0.81317,5.0,True,True,0.81317,0.1638
x1 = 6.1,6.1,0.327938,0.672062,0.91281,0.67918,0.32082,0.5,0.5,0.55875993084,0.44124006916,0.41090199999999993,0.5890980000000001,0.90527,1.0,0.97697,0.99001,0.96893,5.0,True,False,0.81317,0.1638
x1 = 1.0,1.0,0.30895399999999995,0.6910459999999999,0.89196,0.37754,0.62246,0.43782,0.56218,0.41919625287999995,0.5808037471199999,0.41090199999999993,0.5890980000000001,0.95629,0.98882,0.97697,0.98108,0.97877,5.0,True,False,0.81317,0.1638
x1 = 6.0,6.0,0.375568,0.6244320000000001,0.95485,0.73106,0.26894,0.43782,0.56218,0.54795156032,0.4520484396800001,0.41090199999999993,0.5890980000000001,0.83994,0.98882,0.97697,0.99336,0.93291,5.0,True,False,0.81317,0.1638
x1 = -10.0,-10.0,0.971984,0.028016000000000003,0.18434,0.37754,0.62246,0.56218,0.43782,0.38271287423999995,0.61728712576,0.41090199999999993,0.5890980000000001,0.95629,0.98882,0.97697,0.95994,0.9572,5.0,True,False,0.81317,0.1638
x1 = -10.0,-10.0,0.971984,0.028016000000000003,0.18434,0.37754,0.62246,0.56218,0.43782,0.38271287423999995,0.61728712576,0.41090199999999993,0.5890980000000001,0.95629,0.98882,0.97697,0.95994,0.9572,5.0,True,False,0.81317,0.1638
