note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = -1.4,-1.4,0.526396,0.473604,0.99799,0.99753,0.00247,0.9947800000000001,0.00522,0.9962275890000001,0.003772411,0.922042,0.077958,0.02495,0.04709,0.39494,0.0358,0.03544,-4.8,False,False,0.02558,0.36936
x1 = 1.1,1.1,0.21083600000000002,0.789164,0.74308,0.9890100000000001,0.01099,0.99807,0.00193,0.99615982584,0.0038401741600000002,0.922042,0.077958,0.08729,0.02018,0.39494,0.03635,0.03433,-4.8,False,False,0.02558,0.36936
x1 = -0.1,-0.1,0.734636,0.26536400000000004,0.83473,0.9968299999999999,0.00317,0.9959299999999999,0.00407,0.9965911724,0.0034088276000000003,0.922042,0.077958,0.03088,0.03818,0.39494,0.03285,0.03282,-4.8,False,False,0.02558,0.36936
x1 = -11.6,-11.6,0.9774039999999999,0.022595999999999998,0.15578,0.99807,0.00193,0.62246,0.37754,0.98958271644,0.010417283559999999,0.922042,0.077958,0.02018,0.95629,0.39494,0.08355,0.04133,-4.8,False,False,0.02558,0.36936
x1 = 5.2,5.2,0.387502,0.612498,0.96317,0.9933099999999999,0.00669,0.99753,0.00247,0.9958947415599999,0.00410525844,0.922042,0.077958,0.05795,0.02495,0.39494,0.03846,0.03774,-4.8,False,False,0.02558,0.36936
x1 = -10.0,-10.0,0.971984,0.028016000000000003,0.18434,0.9988300000000001,0.00117,0.56218,0.43782,0.9865968136000001,0.013403186400000001,0.922042,0.077958,0.01308,0.98882,0.39494,0.10259,0.04042,-4.8,False,False,0.02558,0.36936
x1 = 8.5,8.5,0.29858,0.7014199999999999,0.87955,0.9890100000000001,0.01099,0.9968299999999999,0.00317,0.9944951043999999,0.0055048956,0.922042,0.077958,0.08729,0.03088,0.39494,0.04923,0.04772,-4.8,False,False,0.02558,0.36936
x1 = -0.9,-0.9,0.676964,0.323036,0.90765,0.9968299999999999,0.00317,0.9968299999999999,0.00317,0.9968299999999999,0.00317,0.922042,0.077958,0.03088,0.03088,0.39494,0.03088,0.03088,-4.8,False,False,0.02558,0.36936
x1 = 1.9,1.9,0.30009399999999997,0.699906,0.88141,0.9959299999999999,0.00407,0.99807,0.00193,0.99742779884,0.00257220116,0.922042,0.077958,0.03818,0.02018,0.39494,0.02583,0.02558,-4.8,False,False,0.02558,0.36936
x1 = -9.1,-9.1,0.9792660000000002,0.020734,0.14554,0.99753,0.00247,0.56218,0.43782,0.9885034531000002,0.0114965469,0.922042,0.077958,0.02495,0.98882,0.39494,0.09056,0.04493,-4.8,False,False,0.02558,0.36936
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.9890100000000001,0.01099,0.99753,0.00247,0.9947063356800001,0.00529366432,0.922042,0.077958,0.08729,0.02495,0.39494,0.04765,0.04561,-4.8,False,False,0.02558,0.36936
x1 = -0.9,-0.9,0.676964,0.323036,0.90765,0.9968299999999999,0.00317,0.9968299999999999,0.00317,0.9968299999999999,0.00317,0.922042,0.077958,0.03088,0.03088,0.39494,0.03088,0.03088,-4.8,False,False,0.02558,0.36936
x1 = 3.9,3.9,0.233548,0.7664519999999999,0.78415,0.9890100000000001,0.01099,0.99753,0.00247,0.9955401710399999,0.0044598289599999995,0.922042,0.077958,0.08729,0.02495,0.39494,0.04125,0.03951,-4.8,False,False,0.02558,0.36936
x1 = 4.6,4.6,0.5,0.5,1.0,0.9890100000000001,0.01099,0.9959299999999999,0.00407,0.99247,0.00753,0.922042,0.077958,0.08729,0.03818,0.39494,0.06393,0.06274,-4.8,False,False,0.02558,0.36936
x1 = 1.7,1.7,0.27889400000000003,0.721106,0.85394,0.99142,0.00858,0.99807,0.00193,0.9962153549000001,0.0037846451,0.922042,0.077958,0.07123,0.02018,0.39494,0.0359,0.03442,-4.8,False,False,0.02558,0.36936
