note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = -3.8,-3.8,0.87841,0.12159,0.53391,0.9626699999999999,0.03733,0.67918,0.32082,0.9282004508999999,0.0717995491,0.741896,0.258104,0.22991,0.90527,0.82387,0.3726,0.31203,-2.2,False,False,0.14007,0.6838
x1 = -6.0,-6.0,0.958304,0.041696,0.25001,0.95257,0.04743,0.67918,0.32082,0.9411707305600001,0.05882926944,0.741896,0.258104,0.27538,0.90527,0.82387,0.32278,0.30164,-2.2,False,False,0.14007,0.6838
x1 = 0.9,0.9,0.426524,0.5734760000000001,0.98437,0.90465,0.09535,0.98594,0.01406,0.9512678640400001,0.048732135960000006,0.741896,0.258104,0.45408,0.10664,0.82387,0.28099,0.25483,-2.2,False,False,0.14007,0.6838
x1 = -7.5,-7.5,0.9794,0.0206,0.1448,0.9626699999999999,0.03733,0.62246,0.37754,0.9556616739999999,0.044338326000000004,0.741896,0.258104,0.22991,0.95629,0.82387,0.26184,0.24487,-2.2,False,False,0.14007,0.6838
x1 = 2.7,2.7,0.30547799999999997,0.6945220000000001,0.88788,0.9241399999999999,0.07586,0.97069,0.029309999999999996,0.9564699991000001,0.0435300009,0.741896,0.258104,0.38742,0.19092,0.82387,0.25825,0.25095,-2.2,False,False,0.14007,0.6838
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.95257,0.04743,0.98201,0.01799,0.97225311296,0.02774688704,0.741896,0.258104,0.27538,0.13,0.82387,0.18296,0.17818,-2.2,False,False,0.14007,0.6838
x1 = 7.8,7.8,0.29858,0.7014199999999999,0.87955,0.9626699999999999,0.03733,0.98594,0.01406,0.9789920434,0.021007956600000002,0.741896,0.258104,0.22991,0.10664,0.82387,0.14706,0.14345,-2.2,False,False,0.14007,0.6838
x1 = -10.0,-10.0,0.971984,0.028016000000000003,0.18434,0.9770199999999999,0.02298,0.67918,0.32082,0.9686757145599999,0.03132428544,0.741896,0.258104,0.15786,0.90527,0.82387,0.20099,0.1788,-2.2,False,False,0.14007,0.6838
x1 = 8.7,8.7,0.271214,0.728786,0.8432,0.9626699999999999,0.03733,0.98594,0.01406,0.9796288502200001,0.02037114978,0.741896,0.258104,0.22991,0.10664,0.82387,0.14352,0.14007,-2.2,False,False,0.14007,0.6838
x1 = 5.7,5.7,0.343094,0.656906,0.92775,0.9626699999999999,0.03733,0.98594,0.01406,0.97795620262,0.02204379738,0.741896,0.258104,0.22991,0.10664,0.82387,0.15277,0.14893,-2.2,False,False,0.14007,0.6838
x1 = -0.4,-0.4,0.712676,0.287324,0.86524,0.98201,0.01799,0.97069,0.029309999999999996,0.9787574923200001,0.021242507679999998,0.741896,0.258104,0.13,0.19092,0.82387,0.14836,0.1475,-2.2,False,False,0.14007,0.6838
x1 = -1.2,-1.2,0.570398,0.42960200000000004,0.98565,0.98594,0.01406,0.8519500000000001,0.14805,0.92837762802,0.07162237198,0.741896,0.258104,0.10664,0.60494,0.82387,0.37195,0.32071,-2.2,False,False,0.14007,0.6838
x1 = 0.3,0.3,0.8917400000000001,0.10826,0.49465,0.9770199999999999,0.02298,0.93991,0.06009,0.9730024714000001,0.0269975286,0.741896,0.258104,0.15786,0.3278,0.82387,0.1791,0.17626,-2.2,False,False,0.14007,0.6838
x1 = 0.3,0.3,0.8917400000000001,0.10826,0.49465,0.9770199999999999,0.02298,0.93991,0.06009,0.9730024714000001,0.0269975286,0.741896,0.258104,0.15786,0.3278,0.82387,0.1791,0.17626,-2.2,False,False,0.14007,0.6838
x1 = 7.0,7.0,0.306634,0.6933659999999999,0.88925,0.95257,0.04743,0.98201,0.01799,0.97298269504,0.02701730496,0.741896,0.258104,0.27538,0.13,0.82387,0.17921,0.17458,-2.2,False,False,0.14007,0.6838
