note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = -10.3,-10.3,0.974886,0.025114000000000004,0.16926,0.56218,0.43782,0.56218,0.43782,0.56218,0.43782,0.58482,0.41518,0.98882,0.98882,0.97914,0.98882,0.98882,2.0,True,False,0.96388,0.01526
x1 = -11.5,-11.5,0.974296,0.025703999999999998,0.17237,0.56218,0.43782,0.56218,0.43782,0.5621800000000001,0.43782000000000004,0.58482,0.41518,0.98882,0.98882,0.97914,0.98882,0.98882,2.0,True,False,0.96388,0.01526
x1 = 10.2,10.2,0.309128,0.6908719999999999,0.89216,0.62246,0.37754,0.56218,0.43782,0.58081423584,0.41918576416,0.58482,0.41518,0.95629,0.98882,0.97914,0.98107,0.97876,2.0,True,False,0.96388,0.01526
x1 = 17.2,17.2,0.27370799999999995,0.726292,0.84674,0.56218,0.43782,0.56218,0.43782,0.56218,0.43782,0.58482,0.41518,0.98882,0.98882,0.97914,0.98882,0.98882,2.0,True,False,0.96388,0.01526
x1 = 13.0,13.0,0.27194,0.7280599999999999,0.84423,0.56218,0.43782,0.56218,0.43782,0.56218,0.43781999999999993,0.58482,0.41518,0.98882,0.98882,0.97914,0.98882,0.98882,2.0,True,False,0.96388,0.01526
x1 = -6.7,-6.7,0.9656839999999999,0.034316,0.21559,0.5,0.5,0.5,0.5,0.49999999999999994,0.49999999999999994,0.58482,0.41518,1.0,1.0,0.97914,1.0,1.0,2.0,True,False,0.96388,0.01526
x1 = 8.8,8.8,0.30545600000000006,0.6945439999999999,0.88786,0.56218,0.43782,0.5,0.5,0.51899325408,0.48100674592,0.58482,0.41518,0.98882,1.0,0.97914,0.99896,0.99659,2.0,True,False,0.96388,0.01526
x1 = -1.1,-1.1,0.570398,0.42960200000000004,0.98565,0.62246,0.37754,0.56218,0.43782,0.59656359144,0.40343640855999996,0.58482,0.41518,0.95629,0.98882,0.97914,0.97293,0.97026,2.0,True,False,0.96388,0.01526
x1 = -4.6,-4.6,0.9225239999999999,0.07747599999999999,0.39322,0.56218,0.43782,0.56218,0.43782,0.56218,0.43782,0.58482,0.41518,0.98882,0.98882,0.97914,0.98882,0.98882,2.0,True,False,0.96388,0.01526
x1 = 2.3,2.3,0.383398,0.616602,0.96041,0.62246,0.37754,0.5,0.5,0.54695091908,0.45304908091999996,0.58482,0.41518,0.95629,1.0,0.97914,0.99363,0.98324,2.0,True,False,0.96388,0.01526
x1 = -4.6,-4.6,0.9225239999999999,0.07747599999999999,0.39322,0.56218,0.43782,0.56218,0.43782,0.56218,0.43782,0.58482,0.41518,0.98882,0.98882,0.97914,0.98882,0.98882,2.0,True,False,0.96388,0.01526
x1 = 2.5,2.5,0.358742,0.641258,0.94163,0.62246,0.37754,0.56218,0.43782,0.58380496776,0.41619503224,0.58482,0.41518,0.95629,0.98882,0.97914,0.97964,0.97715,2.0,True,False,0.96388,0.01526
x1 = 2.2,2.2,0.38133799999999995,0.618662,0.95898,0.67918,0.32082,0.5,0.5,0.56832814284,0.43167185716,0.58482,0.41518,0.90527,1.0,0.97914,0.98649,0.96388,2.0,True,True,0.96388,0.01526
x1 = -1.8,-1.8,0.634516,0.36548400000000003,0.94714,0.56218,0.43782,0.56218,0.43782,0.56218,0.43782,0.58482,0.41518,0.98882,0.98882,0.97914,0.98882,0.98882,2.0,True,False,0.96388,0.01526
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.62246,0.37754,0.56218,0.43782,0.58215775648,0.41784224352,0.58482,0.41518,0.95629,0.98882,0.97914,0.98044,0.97804,2.0,True,False,0.96388,0.01526
