note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = -7.4,-7.4,0.9766360000000001,0.023364000000000003,0.15993,0.22270000000000004,0.7773,0.56218,0.43782,0.23063161072000005,0.7693683892800001,0.285764,0.714236,0.76507,0.98882,0.86319,0.77911,0.7703,12.8,False,False,0.30232,0.56087
x1 = -1.9,-1.9,0.62745,0.37255000000000005,0.95261,0.32082,0.67918,0.37754,0.62246,0.341951036,0.658048964,0.285764,0.714236,0.90527,0.95629,0.86319,0.92667,0.92428,12.8,False,False,0.30232,0.56087
x1 = 6.6,6.6,0.32793799999999995,0.6720619999999999,0.91281,0.73106,0.26894,0.1192,0.8808,0.31985214468,0.68014785532,0.285764,0.714236,0.83994,0.52706,0.86319,0.90422,0.62967,12.8,True,False,0.30232,0.56087
x1 = 1.9,1.9,0.30009399999999997,0.699906,0.88141,0.22270000000000004,0.7773,0.26894,0.73106,0.25506365344000004,0.7449363465600001,0.285764,0.714236,0.76507,0.83994,0.86319,0.81921,0.81747,12.8,False,False,0.30232,0.56087
x1 = 3.4,3.4,0.24669400000000002,0.753306,0.806,0.26894,0.73106,0.32082,0.67918,0.30802151528,0.6919784847200001,0.285764,0.714236,0.83994,0.90527,0.86319,0.89088,0.88915,12.8,True,False,0.30232,0.56087
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8808,0.1192,0.029309999999999996,0.97069,0.31150740983999997,0.6884925901600001,0.285764,0.714236,0.52706,0.19092,0.86319,0.89491,0.30232,12.8,True,True,0.30232,0.56087
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8808,0.1192,0.029309999999999996,0.97069,0.31150740983999997,0.6884925901600001,0.285764,0.714236,0.52706,0.19092,0.86319,0.89491,0.30232,12.8,True,True,0.30232,0.56087
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8808,0.1192,0.029309999999999996,0.97069,0.31150740983999997,0.6884925901600001,0.285764,0.714236,0.52706,0.19092,0.86319,0.89491,0.30232,12.8,True,True,0.30232,0.56087
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8808,0.1192,0.029309999999999996,0.97069,0.31150740983999997,0.6884925901600001,0.285764,0.714236,0.52706,0.19092,0.86319,0.89491,0.30232,12.8,True,True,0.30232,0.56087
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8808,0.1192,0.029309999999999996,0.97069,0.31150740983999997,0.6884925901600001,0.285764,0.714236,0.52706,0.19092,0.86319,0.89491,0.30232,12.8,True,True,0.30232,0.56087
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8808,0.1192,0.029309999999999996,0.97069,0.31150740983999997,0.6884925901600001,0.285764,0.714236,0.52706,0.19092,0.86319,0.89491,0.30232,12.8,True,True,0.30232,0.56087
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8808,0.1192,0.029309999999999996,0.97069,0.31150740983999997,0.6884925901600001,0.285764,0.714236,0.52706,0.19092,0.86319,0.89491,0.30232,12.8,True,True,0.30232,0.56087
x1 = 8.8,8.8,0.30545600000000006,0.6945439999999999,0.88786,0.67918,0.32082,0.06009,0.93991,0.24919475504000005,0.75080524496,0.285764,0.714236,0.90527,0.3278,0.86319,0.81,0.50419,12.8,False,False,0.30232,0.56087
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8808,0.1192,0.029309999999999996,0.97069,0.31150740983999997,0.6884925901600001,0.285764,0.714236,0.52706,0.19092,0.86319,0.89491,0.30232,12.8,True,True,0.30232,0.56087
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.8808,0.1192,0.029309999999999996,0.97069,0.31150740983999997,0.6884925901600001,0.285764,0.714236,0.52706,0.19092,0.86319,0.89491,0.30232,12.8,True,True,0.30232,0.56087
