note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = -1.0,-1.0,0.491842,0.5081580000000001,0.99981,0.26894,0.73106,0.26894,0.73106,0.26894000000000007,0.7310600000000002,0.369282,0.6307180000000001,0.83994,0.83994,0.95012,0.83994,0.83994,2.8,False,False,0.90527,0.04485
x1 = 0.5,0.5,0.7900159999999999,0.209984,0.74145,0.09535,0.90465,0.37754,0.62246,0.15460538495999998,0.8453946150399999,0.369282,0.6307180000000001,0.45408,0.95629,0.95012,0.62125,0.55954,2.8,False,False,0.90527,0.04485
x1 = -0.2,-0.2,0.717058,0.28294199999999997,0.85943,0.32082,0.67918,0.32082,0.67918,0.32082,0.67918,0.369282,0.6307180000000001,0.90527,0.90527,0.95012,0.90527,0.90527,2.8,True,True,0.90527,0.04485
x1 = -0.4,-0.4,0.712676,0.287324,0.86524,0.32082,0.67918,0.26894,0.73106,0.30591363088,0.69408636912,0.369282,0.6307180000000001,0.90527,0.83994,0.95012,0.8884,0.8865,2.8,False,False,0.90527,0.04485
x1 = -1.5,-1.5,0.535834,0.46416599999999997,0.99629,0.32082,0.67918,0.26894,0.73106,0.29673906792000004,0.7032609320800001,0.369282,0.6307180000000001,0.90527,0.83994,0.95012,0.87727,0.87495,2.8,False,False,0.90527,0.04485
x1 = -6.5,-6.5,0.963832,0.03616799999999999,0.22444,0.32082,0.67918,0.43782,0.56218,0.32505165599999997,0.674948344,0.369282,0.6307180000000001,0.90527,0.98882,0.95012,0.90979,0.90829,2.8,True,False,0.90527,0.04485
x1 = 0.7,0.7,0.6940440000000001,0.305956,0.88845,0.26894,0.73106,0.37754,0.62246,0.3021668216,0.6978331784000001,0.369282,0.6307180000000001,0.83994,0.95629,0.95012,0.88392,0.87554,2.8,False,False,0.90527,0.04485
x1 = 0.4,0.4,0.8766740000000001,0.123326,0.53885,0.32082,0.67918,0.37754,0.62246,0.32781505072,0.67218494928,0.369282,0.6307180000000001,0.90527,0.95629,0.95012,0.91268,0.91156,2.8,True,False,0.90527,0.04485
x1 = 6.5,6.5,0.327938,0.672062,0.91281,0.32082,0.67918,0.26894,0.73106,0.28595342344,0.7140465765600001,0.369282,0.6307180000000001,0.90527,0.83994,0.95012,0.86344,0.86136,2.8,False,False,0.90527,0.04485
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.37754,0.62246,0.26894,0.73106,0.3049317776,0.6950682224000001,0.369282,0.6307180000000001,0.95629,0.83994,0.95012,0.88724,0.8785,2.8,False,False,0.90527,0.04485
x1 = -10.0,-10.0,0.971984,0.028016000000000003,0.18434,0.32082,0.67918,0.43782,0.56218,0.32409787199999995,0.675902128,0.369282,0.6307180000000001,0.90527,0.98882,0.95012,0.90878,0.90761,2.8,True,False,0.90527,0.04485
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.37754,0.62246,0.26894,0.73106,0.3049317776,0.6950682224000001,0.369282,0.6307180000000001,0.95629,0.83994,0.95012,0.88724,0.8785,2.8,False,False,0.90527,0.04485
x1 = -10.0,-10.0,0.971984,0.028016000000000003,0.18434,0.32082,0.67918,0.43782,0.56218,0.32409787199999995,0.675902128,0.369282,0.6307180000000001,0.90527,0.98882,0.95012,0.90878,0.90761,2.8,True,False,0.90527,0.04485
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.37754,0.62246,0.26894,0.73106,0.3049317776,0.6950682224000001,0.369282,0.6307180000000001,0.95629,0.83994,0.95012,0.88724,0.8785,2.8,False,False,0.90527,0.04485
x1 = -10.0,-10.0,0.971984,0.028016000000000003,0.18434,0.32082,0.67918,0.43782,0.56218,0.32409787199999995,0.675902128,0.369282,0.6307180000000001,0.90527,0.98882,0.95012,0.90878,0.90761,2.8,True,False,0.90527,0.04485
