note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",kl_pyx_pyxz,kl_pyxz_pyx,true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = 5.0,5.0,0.4822719999999999,0.5177280000000001,0.99909,0.8175700000000001,0.18243000000000004,0.90465,0.09535000000000002,0.8626537542400001,0.13734624576000004,0.8452359999999999,0.154764,0.68536,0.45408,0.62163,0.57725,0.56562,0.00179,0.00173,-6.4,False,False,0.41874,0.20289
x1 = -3.7,-3.7,0.7183580000000002,0.28164199999999995,0.85768,0.90465,0.09535000000000002,0.8175700000000001,0.18243000000000004,0.8801246146400001,0.11987538536000003,0.8452359999999999,0.154764,0.45408,0.68536,0.62163,0.529,0.51922,0.00771,0.00718,-6.4,False,False,0.41874,0.20289
x1 = -5.0,-5.0,0.820951,0.17904899999999999,0.67799,0.8175700000000001,0.18243000000000004,0.6791799999999999,0.32081999999999994,0.79279140889,0.20720859111000003,0.8452359999999999,0.154764,0.68536,0.90527,0.62163,0.73611,0.72473,0.01295,0.01397,-6.4,False,False,0.41874,0.20289
x1 = -1.8,-1.8,0.749597,0.25040300000000004,0.81192,0.8808,0.1192,0.8808,0.1192,0.8808,0.1192,0.8452359999999999,0.154764,0.52706,0.52706,0.62163,0.52706,0.52706,0.00804,0.00747,-6.4,False,False,0.41874,0.20289
x1 = 7.1,7.1,0.4042339999999999,0.595766,0.97337,0.8519500000000002,0.14805,0.90465,0.09535000000000002,0.8833468682000001,0.1166531318,0.8452359999999999,0.154764,0.60494,0.45408,0.62163,0.51966,0.51506,0.00934,0.00863,-6.4,False,False,0.41874,0.20289
x1 = 1.6,1.6,0.46983600000000003,0.5301640000000001,0.99737,0.90465,0.09535000000000002,0.9241399999999997,0.07586000000000001,0.91498289636,0.08501710364000002,0.8452359999999999,0.154764,0.45408,0.38742,0.62163,0.41962,0.41874,0.03707,0.03119,-6.4,False,False,0.41874,0.20289
x1 = -10.2,-10.2,0.8658850000000001,0.134115,0.56862,0.9241399999999997,0.07586000000000001,0.6224600000000001,0.37753999999999993,0.8836801867999999,0.11631981320000001,0.8452359999999999,0.154764,0.38742,0.95629,0.62163,0.51869,0.46371,0.00952,0.00879,-6.4,False,False,0.41874,0.20289
x1 = 1.6,1.6,0.46983600000000003,0.5301640000000001,0.99737,0.90465,0.09535000000000002,0.9241399999999997,0.07586000000000001,0.91498289636,0.08501710364000002,0.8452359999999999,0.154764,0.45408,0.38742,0.62163,0.41962,0.41874,0.03707,0.03119,-6.4,False,False,0.41874,0.20289
x1 = 1.6,1.6,0.46983600000000003,0.5301640000000001,0.99737,0.90465,0.09535000000000002,0.9241399999999997,0.07586000000000001,0.91498289636,0.08501710364000002,0.8452359999999999,0.154764,0.45408,0.38742,0.62163,0.41962,0.41874,0.03707,0.03119,-6.4,False,False,0.41874,0.20289
x1 = 1.6,1.6,0.46983600000000003,0.5301640000000001,0.99737,0.90465,0.09535000000000002,0.9241399999999997,0.07586000000000001,0.91498289636,0.08501710364000002,0.8452359999999999,0.154764,0.45408,0.38742,0.62163,0.41962,0.41874,0.03707,0.03119,-6.4,False,False,0.41874,0.20289
x1 = -14.4,-14.4,0.848625,0.151375,0.61327,0.90465,0.09535000000000002,0.6791799999999999,0.32081999999999994,0.8705194787499999,0.12948052125,0.8452359999999999,0.154764,0.45408,0.90527,0.62163,0.55601,0.52238,0.00388,0.0037,-6.4,False,False,0.41874,0.20289
x1 = 1.6,1.6,0.46983600000000003,0.5301640000000001,0.99737,0.90465,0.09535000000000002,0.9241399999999997,0.07586000000000001,0.91498289636,0.08501710364000002,0.8452359999999999,0.154764,0.45408,0.38742,0.62163,0.41962,0.41874,0.03707,0.03119,-6.4,False,False,0.41874,0.20289
x1 = -8.5,-8.5,0.8430039999999999,0.15699600000000002,0.62707,0.90465,0.09535000000000002,0.6224600000000001,0.37753999999999993,0.8603472987599998,0.13965270124,0.8452359999999999,0.154764,0.45408,0.95629,0.62163,0.58333,0.53292,0.00133,0.00129,-6.4,False,False,0.41874,0.20289
x1 = 1.6,1.6,0.46983600000000003,0.5301640000000001,0.99737,0.90465,0.09535000000000002,0.9241399999999997,0.07586000000000001,0.91498289636,0.08501710364000002,0.8452359999999999,0.154764,0.45408,0.38742,0.62163,0.41962,0.41874,0.03707,0.03119,-6.4,False,False,0.41874,0.20289
x1 = -12.1,-12.1,0.857799,0.142201,0.58997,0.9241399999999997,0.07586000000000001,0.6224600000000001,0.37753999999999993,0.8812408023199998,0.11875919767999998,0.8452359999999999,0.154764,0.38742,0.95629,0.62163,0.52578,0.46831,0.00826,0.00767,-6.4,False,False,0.41874,0.20289
