note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",kl_pyx_pyxz,kl_pyxz_pyx,true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = -0.6,-0.6,0.81959,0.18041000000000001,0.68097,0.8519500000000002,0.14805,0.8519500000000002,0.14805,0.8519500000000003,0.14805,0.8415539999999998,0.158446,0.60494,0.60494,0.63058,0.60494,0.60494,0.00061,0.0006,-7.6,True,False,0.52359,0.10699
x1 = -7.5,-7.5,0.8351,0.1649,0.6459,0.90465,0.09535000000000002,0.5621799999999999,0.43782,0.8481766969999999,0.151823303,0.8415539999999998,0.158446,0.45408,0.98882,0.63058,0.61438,0.54226,0.00024,0.00024,-7.6,True,False,0.52359,0.10699
x1 = 5.6,5.6,0.45275799999999994,0.547242,0.99355,0.8175700000000001,0.18243000000000004,0.8808,0.1192,0.8521721116600001,0.14782788834,0.8415539999999998,0.158446,0.68536,0.52706,0.63058,0.60438,0.59873,0.00063,0.00062,-7.6,True,False,0.52359,0.10699
x1 = 2.6,2.6,0.5363819999999999,0.46361800000000003,0.99618,0.8808,0.1192,0.90465,0.09535000000000002,0.8918572893,0.1081427107,0.8415539999999998,0.158446,0.52706,0.45408,0.63058,0.49429,0.49323,0.01683,0.01511,-7.6,False,False,0.52359,0.10699
x1 = -0.7,-0.7,0.792524,0.207476,0.73663,0.8808,0.1192,0.8519500000000002,0.14805,0.8748143174,0.1251856826,0.8415539999999998,0.158446,0.52706,0.60494,0.63058,0.54409,0.54322,0.0068,0.00637,-7.6,False,False,0.52359,0.10699
x1 = -12.0,-12.0,0.861237,0.13876300000000003,0.58099,0.8808,0.1192,0.5,0.5,0.8279590496,0.1720409504,0.8415539999999998,0.158446,0.52706,1.0,0.63058,0.66235,0.59269,0.00096,0.00098,-7.6,False,False,0.52359,0.10699
x1 = -3.2,-3.2,0.7122719999999999,0.287728,0.86577,0.8519500000000002,0.14805,0.8519500000000002,0.14805,0.8519500000000001,0.14804999999999996,0.8415539999999998,0.158446,0.60494,0.60494,0.63058,0.60494,0.60494,0.00061,0.0006,-7.6,True,False,0.52359,0.10699
x1 = -15.6,-15.6,0.856137,0.14386300000000002,0.59427,0.8808,0.1192,0.43782,0.5621799999999999,0.81707156826,0.18292843174,0.8415539999999998,0.158446,0.52706,0.98882,0.63058,0.68644,0.59349,0.003,0.00312,-7.6,False,False,0.52359,0.10699
x1 = -10.4,-10.4,0.8642429999999999,0.13575700000000002,0.57302,0.90465,0.09535000000000002,0.43782,0.5621799999999999,0.8412745596899999,0.15872544031,0.8415539999999998,0.158446,0.45408,0.98882,0.63058,0.63125,0.52667,0.0,0.0,-7.6,True,False,0.52359,0.10699
x1 = 0.4,0.4,0.7397929999999999,0.260207,0.82706,0.8808,0.1192,0.8808,0.1192,0.8808,0.11919999999999999,0.8415539999999998,0.158446,0.52706,0.52706,0.63058,0.52706,0.52706,0.00972,0.00898,-7.6,False,False,0.52359,0.10699
x1 = -13.5,-13.5,0.8542730000000001,0.145727,0.59904,0.9241399999999997,0.07586000000000001,0.5,0.5,0.8623313502199998,0.13766864978,0.8415539999999998,0.158446,0.38742,1.0,0.63058,0.5781,0.47669,0.00252,0.00242,-7.6,False,False,0.52359,0.10699
x1 = -9.0,-9.0,0.8726700000000001,0.12733,0.55007,0.90465,0.09535000000000002,0.5,0.5,0.8531259154999999,0.1468740845,0.8415539999999998,0.158446,0.45408,1.0,0.63058,0.60196,0.52359,0.00075,0.00074,-7.6,True,True,0.52359,0.10699
x1 = -11.8,-11.8,0.856851,0.143149,0.59243,0.90465,0.09535000000000002,0.5,0.5,0.84672475715,0.15327524285000002,0.8415539999999998,0.158446,0.45408,1.0,0.63058,0.61798,0.53223,0.00015,0.00015,-7.6,True,False,0.52359,0.10699
x1 = 0.4,0.4,0.7397929999999999,0.260207,0.82706,0.8808,0.1192,0.8808,0.1192,0.8808,0.11919999999999999,0.8415539999999998,0.158446,0.52706,0.52706,0.63058,0.52706,0.52706,0.00972,0.00898,-7.6,False,False,0.52359,0.10699
x1 = -2.3,-2.3,0.75738,0.24262,0.79937,0.8808,0.1192,0.8519500000000002,0.14805,0.8738004130000001,0.126199587,0.8415539999999998,0.158446,0.52706,0.60494,0.63058,0.54692,0.54596,0.00636,0.00597,-7.6,False,False,0.52359,0.10699
