note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",kl_pyx_pyxz,kl_pyxz_pyx,true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = 3.3,3.3,0.404988,0.5950119999999999,0.97379,0.8808,0.1192,0.90465,0.09535000000000002,0.8949910361999999,0.1050089638,0.8383799999999999,0.16162,0.52706,0.45408,0.63817,0.48468,0.48364,0.02151,0.01904,-7.2,False,False,0.52978,0.10839
x1 = -1.3,-1.3,0.7618,0.23820000000000002,0.79203,0.90465,0.09535000000000002,0.8808,0.1192,0.8989689300000001,0.10103107000000003,0.8383799999999999,0.16162,0.45408,0.52706,0.63817,0.47226,0.47146,0.02515,0.02202,-7.2,False,False,0.52978,0.10839
x1 = -4.2,-4.2,0.7601859999999999,0.23981400000000003,0.79473,0.8808,0.1192,0.7310600000000002,0.26894000000000007,0.8448902516400001,0.15510974836000002,0.8383799999999999,0.16162,0.52706,0.83994,0.63817,0.62248,0.60209,0.00023,0.00023,-7.2,True,False,0.52978,0.10839
x1 = -7.9,-7.9,0.8408110000000001,0.15918899999999997,0.63237,0.8808,0.1192,0.5621799999999999,0.43782,0.8300792008200001,0.16992079917999997,0.8383799999999999,0.16162,0.52706,0.98882,0.63817,0.65752,0.60057,0.00036,0.00036,-7.2,True,False,0.52978,0.10839
x1 = 7.4,7.4,0.410452,0.589548,0.97674,0.8519500000000002,0.14805,0.90465,0.09535000000000002,0.8830191796,0.11698082039999999,0.8383799999999999,0.16162,0.60494,0.45408,0.63817,0.52062,0.516,0.01262,0.01153,-7.2,False,False,0.52978,0.10839
x1 = 0.8,0.8,0.6020880000000001,0.397912,0.96972,0.8808,0.1192,0.9241399999999997,0.07586000000000001,0.89804550608,0.10195449392000001,0.8383799999999999,0.16162,0.52706,0.38742,0.63817,0.47516,0.4715,0.02427,0.0213,-7.2,False,False,0.52978,0.10839
x1 = -10.6,-10.6,0.8584439999999999,0.141556,0.5883,0.90465,0.09535000000000002,0.43782,0.5621799999999999,0.8385674125199999,0.16143258747999997,0.8383799999999999,0.16162,0.45408,0.98882,0.63817,0.63773,0.52978,0.0,0.0,-7.2,True,True,0.52978,0.10839
x1 = 0.8,0.8,0.6020880000000001,0.397912,0.96972,0.8808,0.1192,0.9241399999999997,0.07586000000000001,0.89804550608,0.10195449392000001,0.8383799999999999,0.16162,0.52706,0.38742,0.63817,0.47516,0.4715,0.02427,0.0213,-7.2,False,False,0.52978,0.10839
x1 = -15.2,-15.2,0.8589640000000001,0.14103600000000002,0.58695,0.8808,0.1192,0.5,0.5,0.8270934912000001,0.17290650880000002,0.8383799999999999,0.16162,0.52706,1.0,0.63817,0.66431,0.59376,0.00065,0.00067,-7.2,True,False,0.52978,0.10839
x1 = -12.1,-12.1,0.857799,0.142201,0.58997,0.9241399999999997,0.07586000000000001,0.5,0.5,0.8638268678599997,0.13617313213999999,0.8383799999999999,0.16162,0.38742,1.0,0.63817,0.57413,0.47453,0.00378,0.00361,-7.2,False,False,0.52978,0.10839
x1 = -10.0,-10.0,0.8844790000000001,0.11552100000000001,0.51635,0.90465,0.09535000000000002,0.5,0.5,0.85790442735,0.14209557265000003,0.8383799999999999,0.16162,0.45408,1.0,0.63817,0.5897,0.51715,0.00218,0.0021,-7.2,False,False,0.52978,0.10839
x1 = -2.0,-2.0,0.74732,0.25268,0.8155,0.8808,0.1192,0.8519500000000002,0.14805,0.8735101820000001,0.126489818,0.8383799999999999,0.16162,0.52706,0.60494,0.63817,0.54773,0.54674,0.0075,0.007,-7.2,False,False,0.52978,0.10839
x1 = 0.8,0.8,0.6020880000000001,0.397912,0.96972,0.8808,0.1192,0.9241399999999997,0.07586000000000001,0.89804550608,0.10195449392000001,0.8383799999999999,0.16162,0.52706,0.38742,0.63817,0.47516,0.4715,0.02427,0.0213,-7.2,False,False,0.52978,0.10839
x1 = -13.2,-13.2,0.8589610000000001,0.141039,0.58695,0.90465,0.09535000000000002,0.5,0.5,0.84757856865,0.15242143135000003,0.8383799999999999,0.16162,0.45408,1.0,0.63817,0.61587,0.53108,0.00046,0.00046,-7.2,True,False,0.52978,0.10839
x1 = -11.1,-11.1,0.8619950000000001,0.13800500000000002,0.57899,0.9241399999999997,0.07586000000000001,0.5,0.5,0.8656065592999999,0.13439344070000003,0.8383799999999999,0.16162,0.38742,1.0,0.63817,0.56937,0.47196,0.00436,0.00414,-7.2,False,False,0.52978,0.10839
