note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",kl_pyx_pyxz,kl_pyxz_pyx,true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = 8.9,8.9,0.393582,0.606418,0.96707,0.8519500000000002,0.14805,0.90465,0.09535000000000002,0.8839082286000002,0.1160917714,0.820951,0.17904899999999999,0.60494,0.45408,0.67799,0.51802,0.51346,0.02441,0.02166,-5.0,False,False,0.61521,0.06278
x1 = 9.1,9.1,0.38352699999999995,0.6164729999999999,0.96049,0.8519500000000002,0.14805,0.8808,0.1192,0.86973524605,0.13026475394999998,0.820951,0.17904899999999999,0.60494,0.52706,0.67799,0.55816,0.55693,0.0138,0.01265,-5.0,False,False,0.61521,0.06278
x1 = -1.9,-1.9,0.734001,0.265999,0.83566,0.8519500000000002,0.14805,0.8175700000000001,0.18243000000000004,0.8428049543800001,0.15719504562,0.820951,0.17904899999999999,0.60494,0.68536,0.67799,0.62756,0.62633,0.00251,0.00242,-5.0,False,False,0.61521,0.06278
x1 = 6.4,6.4,0.433264,0.566736,0.98711,0.8519500000000002,0.14805,0.8808,0.1192,0.8683003336000001,0.1316996664,0.820951,0.17904899999999999,0.60494,0.52706,0.67799,0.56208,0.5608,0.01292,0.01189,-5.0,False,False,0.61521,0.06278
x1 = -4.4,-4.4,0.766941,0.233059,0.78331,0.8808,0.1192,0.6791799999999999,0.32081999999999994,0.83381064442,0.16618935557999998,0.820951,0.17904899999999999,0.52706,0.90527,0.67799,0.64891,0.61521,0.00084,0.00083,-5.0,True,True,0.61521,0.06278
x1 = 3.0,3.0,0.41528400000000004,0.584716,0.97919,0.8175700000000001,0.18243000000000004,0.90465,0.09535000000000002,0.8684870692800001,0.13151293072000003,0.820951,0.17904899999999999,0.68536,0.45408,0.67799,0.56157,0.55013,0.01304,0.01199,-5.0,False,False,0.61521,0.06278
x1 = 3.0,3.0,0.41528400000000004,0.584716,0.97919,0.8175700000000001,0.18243000000000004,0.90465,0.09535000000000002,0.8684870692800001,0.13151293072000003,0.820951,0.17904899999999999,0.68536,0.45408,0.67799,0.56157,0.55013,0.01304,0.01199,-5.0,False,False,0.61521,0.06278
x1 = -11.6,-11.6,0.8755700000000001,0.12443000000000001,0.54196,0.8519500000000002,0.14805,0.6224600000000001,0.37753999999999993,0.8233945593000003,0.17660544069999998,0.820951,0.17904899999999999,0.60494,0.95629,0.67799,0.67259,0.64866,3e-05,3e-05,-5.0,True,False,0.61521,0.06278
x1 = -0.8,-0.8,0.7975329999999999,0.202467,0.72683,0.8519500000000002,0.14805,0.8519500000000002,0.14805,0.8519500000000002,0.14805,0.820951,0.17904899999999999,0.60494,0.60494,0.67799,0.60494,0.60494,0.00521,0.00495,-5.0,False,False,0.61521,0.06278
x1 = 3.0,3.0,0.41528400000000004,0.584716,0.97919,0.8175700000000001,0.18243000000000004,0.90465,0.09535000000000002,0.8684870692800001,0.13151293072000003,0.820951,0.17904899999999999,0.68536,0.45408,0.67799,0.56157,0.55013,0.01304,0.01199,-5.0,False,False,0.61521,0.06278
x1 = 3.0,3.0,0.41528400000000004,0.584716,0.97919,0.8175700000000001,0.18243000000000004,0.90465,0.09535000000000002,0.8684870692800001,0.13151293072000003,0.820951,0.17904899999999999,0.68536,0.45408,0.67799,0.56157,0.55013,0.01304,0.01199,-5.0,False,False,0.61521,0.06278
x1 = -8.6,-8.6,0.8334819999999998,0.166518,0.64968,0.8808,0.1192,0.6224600000000001,0.37753999999999993,0.8377817398799999,0.16221826011999996,0.820951,0.17904899999999999,0.52706,0.95629,0.67799,0.63959,0.59853,0.00146,0.00143,-5.0,False,False,0.61521,0.06278
x1 = -13.0,-13.0,0.865264,0.13473600000000002,0.57029,0.8808,0.1192,0.6224600000000001,0.37753999999999993,0.8459923017600001,0.15400769824000002,0.820951,0.17904899999999999,0.52706,0.95629,0.67799,0.61978,0.58489,0.00333,0.0032,-5.0,False,False,0.61521,0.06278
x1 = -10.5,-10.5,0.8666979999999999,0.133302,0.56642,0.8808,0.1192,0.6224600000000001,0.37753999999999993,0.84636276132,0.15363723867999998,0.820951,0.17904899999999999,0.52706,0.95629,0.67799,0.61887,0.58428,0.00343,0.0033,-5.0,False,False,0.61521,0.06278
x1 = 3.0,3.0,0.41528400000000004,0.584716,0.97919,0.8175700000000001,0.18243000000000004,0.90465,0.09535000000000002,0.8684870692800001,0.13151293072000003,0.820951,0.17904899999999999,0.68536,0.45408,0.67799,0.56157,0.55013,0.01304,0.01199,-5.0,False,False,0.61521,0.06278
